report_id,hazards,hazard_evidence,exposures,exposure_evidence,actual_consequences,actual_consequence_evidence,potential_consequences,potential_consequence_evidence,observed_barriers,barrier_evidence,activities,activity_evidence,hazard_count,exposure_count,actual_consequence_count,potential_consequence_count,barrier_count,activity_count
industrial_safety_000108,Falling object / dropped object energy; Ground / unstable terrain,rock block; gallery,,,Minor irritation / swelling,superficial injury,Potential severe projectile injury,"eaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial i",Structural / ground control [failed_or_absent],rock block displacement,Cleaning,cleaning,2,0,1,1,1,1
industrial_safety_000112,Falling object / dropped object energy,fragment,Direct physical contact,injured,Cut / laceration,pierced,,,,,Cleaning,cleaning,1,1,1,0,0,1
industrial_safety_000115,,,,,,,Potential severe entanglement / machine injury,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",,,,,0,0,0,1,0,0
industrial_safety_000119,Chemical energy / hazardous substance; Fall-from-height energy,sulfuric; ladder,Line-of-fire exposure; Fall exposure,projection; ladder,,,Potential severe chemical injury,ating room of the Ustulation was surprised by the projection of sulfuric acid.,,,Working at height,ladder,2,2,0,1,0,1
industrial_safety_000135,,,Fall exposure,fall,Fall injury; Musculoskeletal injury,fall the same level and producing a slight concussion; dizziness,,,,,Cleaning,washing,0,1,2,0,0,1
industrial_safety_000136,Mechanical / moving equipment energy; Vehicle / mobile equipment energy; Ground / unstable terrain,belt; tanker; gable,Direct physical contact; Vehicle exposure,hits; tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator,,,,,PPE [present],safety glasses,Driving / vehicle movement,transit,3,2,0,0,1,1
industrial_safety_000140,Electrical energy,electrical,Electrical exposure,"electrical arc in the power cord, causing a slight burn in the right hand",Burn / thermal injury,burn,,,,,Inspection,checking,1,1,1,0,0,1
industrial_safety_000145,,,,,Cut / laceration,cut,,,,,Cleaning,washing,0,0,1,0,0,1
industrial_safety_000166,,,,,,,,,,,Process operation,autoclave,0,0,0,0,0,1
industrial_safety_000169,Electrical energy; Mechanical / moving equipment energy; Pressure / stored energy; Fall-from-height energy; Caught-between / pinch energy,electrical; drill arm; hydraulic; platform; atricion,,,Crushing / amputation,atricion,Potential severe caught-between injury,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the",,,Maintenance / repair; Cutting / drilling / grinding,maintenance; drill,5,0,1,1,0,2
industrial_safety_000187,Chemical energy / hazardous substance,nitric,Direct physical contact,contact,Burn / thermal injury,burn,,,,,Lifting / handling,handling,1,1,1,0,0,1
industrial_safety_000190,Chemical energy / hazardous substance,ammonia,Chemical exposure,"ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face",,,Potential severe chemical injury,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",,,,,1,1,0,1,0,0
industrial_safety_000197,Sharp-object energy,knife,Direct physical contact,injured,Cut / laceration,cutting,,,,,Cutting / drilling / grinding,cutting,1,1,1,0,0,1
industrial_safety_000198,,,Line-of-fire exposure,released,,,,,,,Lifting / handling,carrying,0,1,0,0,0,1
industrial_safety_000210,,,,,,,,,,,,,0,0,0,0,0,0
industrial_safety_000219,Fall-from-height energy; Sharp-object energy,height; knife,Direct physical contact; Fall exposure,contact; height,,,,,PPE [failed_or_absent]; PPE [present],did not use his specific height gloves; gloves,,,2,2,0,0,2,0
industrial_safety_000222,Biological / animal hazard; Slip / trip surface hazard,foliage; slipped,Fall exposure,fell,,,,,,,Inspection,survey,2,1,0,0,0,1
industrial_safety_000232,,,Direct physical contact; Line-of-fire exposure,injured; projection,Eye / facial injury; Minor irritation / swelling,"face. In an attempt to remove PPE, the injured person has had contact; irritation",,,PPE [present],PPE,Maintenance / repair,maintenance,0,2,2,0,1,1
industrial_safety_000236,Fall-from-height energy,platform,Direct physical contact; Fall exposure,injured; ladder,,,,,Fall protection [present],handrail,Working at height,ladder,1,2,0,0,1,1
industrial_safety_000239,,,,,,,,,Guard / physical protection [present],guard,,,0,0,0,0,1,0
industrial_safety_000250,Mechanical / moving equipment energy; Pressure / stored energy; Chemical energy / hazardous substance,conveyor; pneumatic; sulfuric,Direct physical contact; Chemical exposure,hit; sulfuric acid on his upper lip,Struck-by / impact injury,hit,Potential severe entanglement / machine injury,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,,,Cleaning; Process operation,cleaning; conveyor,3,2,1,1,0,2
industrial_safety_000259,Vehicle / mobile equipment energy; Fall-from-height energy,scooptram; height,Fall exposure,height,,,Potential severe fall injury; Potential severe vehicle injury,"eft leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm; heck the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",Fall protection / safe access [failed_or_absent],rim position,Inspection,check,2,1,0,2,1,1
industrial_safety_000264,Thermal energy,furnace,Thermal exposure,"hot gas, reaching the face",,,Potential severe thermal injury,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",,,Process operation,furnace,1,1,0,1,0,1
industrial_safety_000272,,,,,,,,,PPE [failed_or_absent]; PPE [present],did not have safety gloves; gloves,Cleaning,washing,0,0,0,0,2,1
industrial_safety_000284,Falling object / dropped object energy,splinter,Line-of-fire exposure,impacting,,,Potential severe projectile injury,"ing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in",,,Maintenance / repair,repair,1,1,0,1,0,1
industrial_safety_000289,Slip / trip surface hazard,stumbled,Fall exposure,fell,,,,,,,,,1,1,0,0,0,0
industrial_safety_000297,Fall-from-height energy,height,Fall exposure,height,,,,,Fall protection / safe access [failed_or_absent],unstable reel,Working at height; Driving / vehicle movement,reel; driving,1,1,0,0,1,2
industrial_safety_000298,,,,,,,,,,,,,0,0,0,0,0,0
industrial_safety_000312,Thermal energy,liquid metal,Direct physical contact; Line-of-fire exposure; Thermal exposure,struck; projection; liquid metal projection,Struck-by / impact injury,struck,Potential severe thermal injury,"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",,,Process operation,furnace,1,3,1,1,0,1
industrial_safety_000314,Fall-from-height energy,ladder,Fall exposure,ladder,,,,,,,Assembly / installation; Lifting / handling; Working at height,assembling; carrying; ladder,1,1,0,0,0,3
industrial_safety_000321,Vehicle / mobile equipment energy; Falling object / dropped object energy; Fall-from-height energy; Ground / unstable terrain,loader; stone slab; height; pit,Fall exposure,height,,,Potential severe projectile injury,"ading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside",Structural / ground control [failed_or_absent],stone slab of 1.4x0.7x0.2 m is detached,,,4,1,0,1,1,0
industrial_safety_000323,Vehicle / mobile equipment energy,vehicle,,,,,Potential severe vehicle injury,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region agai",Guard / physical protection [present],fender,,,1,0,0,1,1,0
industrial_safety_000331,Vehicle / mobile equipment energy; Falling object / dropped object energy; Fall-from-height energy; Slip / trip surface hazard,car; fragment; platform; slip,Direct physical contact; Fall exposure,hits; ladder,Struck-by / impact injury,hit,Potential severe fall injury; Potential severe projectile injury,"and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.; In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forea",,,Working at height; Process operation,ladder; hopper,4,2,1,2,0,2
industrial_safety_000332,Mechanical / moving equipment energy; Sharp-object energy,guillotine; blade,,,Cut / laceration,cuts,Potential severe entanglement / machine injury,"s, when trying to raise the guillotine the middle finger of the right hand It rubs against the edge of the guillotine blade, causing the cut in the yolk of the third finger of the right hand.",,,,,2,0,1,1,0,0
industrial_safety_000337,Mechanical / moving equipment energy,propeller,,,,,Potential severe entanglement / machine injury,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.",Machine energy isolation [failed_or_absent],bonnet open and in functioning,Cleaning,cleaning,1,0,0,1,1,1
industrial_safety_000338,Fall-from-height energy,height,Direct physical contact; Fall exposure,hit; height,Struck-by / impact injury,contusion,,,,,,,1,2,1,0,0,0
industrial_safety_000342,Pressure / stored energy,hydraulic,Line-of-fire exposure,released,,,,,Guard / physical protection [present],protector,,,1,1,0,0,1,0
industrial_safety_000346,,,Direct physical contact,touches,,,,,PPE [present],gloves,Cleaning; Painting / coating,clean; painting,0,1,0,0,1,2
industrial_safety_000361,Vehicle / mobile equipment energy,loader,Direct physical contact; Vehicle exposure,"hit; truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator",Struck-by / impact injury,hit,,,,,,,1,2,1,0,0,0
industrial_safety_000364,Vehicle / mobile equipment energy; Falling object / dropped object energy; Sharp-object energy; Ground / unstable terrain,vehicle; fragment; broken glass; gable,Direct physical contact,hits,,,,,,,,,4,1,0,0,0,0
industrial_safety_000370,Chemical energy / hazardous substance; Falling object / dropped object energy,nitric; detached,Line-of-fire exposure; Chemical exposure,"projection; nitric acid, the same detached from the doser, causing projection in the region of the face",,,Potential severe chemical injury,"e in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.",,,,,2,2,0,1,0,0
industrial_safety_000371,Mechanical / moving equipment energy; Fall-from-height energy,conveyor; height,Caught-between / pinch exposure; Fall exposure,chest; height,,,,,,,Cleaning; Process operation,clean; conveyor,2,2,0,0,0,2
industrial_safety_000372,Electrical energy,transformer,Electrical exposure,electric shock,Electrical injury,electric shock,,,Exclusion / line-of-fire control [failed_or_absent],Not blocked,,,1,1,1,0,1,0
industrial_safety_000373,Vehicle / mobile equipment energy; Fall-from-height energy; Ground / unstable terrain,Mixer; height; gable,Direct physical contact; Fall exposure,hits; height,,,Potential severe vehicle injury,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right",Guard / physical protection [present],cabin,,,3,2,0,1,1,0
industrial_safety_000374,Biological / animal hazard,thorn,,,,,,,,,Inspection,survey,1,0,0,0,0,1
industrial_safety_000382,Chemical energy / hazardous substance; Slip / trip surface hazard,thinner; slipped,Line-of-fire exposure; Chemical exposure,"projected; thinner on the floor, the bucket slipped out of his hand and the mixture projected",Burn / thermal injury; Minor irritation / swelling,redness and burning; redness,,,,,Cleaning; Painting / coating; Process operation,cleaning; painting; tank,2,2,2,0,0,3
industrial_safety_000383,Sharp-object energy; Biological / animal hazard,machete; wasp,,,Cut / laceration; Minor irritation / swelling,wound; swelling,,,,,Cutting / drilling / grinding; Process operation,machete; sampling,2,0,2,0,0,2
industrial_safety_000384,Electrical energy; Fall-from-height energy,electrical; ladder,Fall exposure,ladder,Cut / laceration,cut,,,Guard / physical protection [present]; Isolation / LOTO [present]; De-energization [present]; Exclusion / traffic control [present]; Emergency / detection control [present],guard; disabled; de-energized; fenced area; evacuation,Working at height,ladder,2,1,1,0,5,1
industrial_safety_000385,Electrical energy,electrical,,,Cut / laceration,cutting,,,Guard / physical protection [present]; Isolation / LOTO [present]; De-energization [present]; Exclusion / traffic control [present]; Emergency / detection control [present],guard; disabled; de-energized; fenced area; evacuation,Cutting / drilling / grinding,cutting,1,0,1,0,5,1
industrial_safety_000389,Fall-from-height energy; Ground / unstable terrain; Slip / trip surface hazard,platform; gable; stumble,Direct physical contact,contact,Cut / laceration,cut,,,PPE [present],boots,Inspection,inspection,3,1,1,0,1,1
industrial_safety_000393,Falling object / dropped object energy; Fall-from-height energy,rock block; roof,Direct physical contact,hit,Struck-by / impact injury,hit,Potential severe projectile injury,"erground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's e",,,Working at height,roof,2,1,1,1,0,1
industrial_safety_000401,,,Line-of-fire exposure,projection,,,,,,,Process operation,pump,0,1,0,0,0,1
industrial_safety_000403,Fall-from-height energy,chimney,Fall exposure,chimney,Fatality,verify the death,,,Emergency / detection control [present],emergency response,Maintenance / repair; Working at height,service; roof,1,1,1,0,1,2
industrial_safety_000410,Mechanical / moving equipment energy; Fall-from-height energy,conveyor; height,Line-of-fire exposure; Fall exposure,projected; height,,,,,,,Inspection; Process operation,inspection; conveyor,2,2,0,0,0,2
industrial_safety_000420,Vehicle / mobile equipment energy,vehicle,,,Fall injury; Musculoskeletal injury,"falls on his own seat, complaining intense pain in the lumbar area, citing pain; overexertion",,,PPE [present]; Emergency / detection control [present],EPPS; evacuation,,,1,0,2,0,2,0
industrial_safety_000422,Pressure / stored energy; Fire / explosion energy; Vehicle / mobile equipment energy; Slip / trip surface hazard,hydraulic; fire; car; mud,Line-of-fire exposure,line of fire,,,,,Exclusion / line-of-fire control [failed_or_absent],line of fire,Process operation,hopper,4,1,0,0,1,1
industrial_safety_000426,Mechanical / moving equipment energy; Vehicle / mobile equipment energy; Ground / unstable terrain,belt; vehicle; excavated area,,,,,Potential severe vehicle injury,"hrough the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor. The occupants of the vehicle made use of the safety belt and all the complete epps.",PPE [present],epps,,,3,0,0,1,1,0
