report_id,sif_precursor_probability,review_priority,model_evidence_conflicts,hazards,exposures,pathways,sif_context_status,pathway_assessment,description
industrial_safety_000310,0.9811676590717644,P1,HIGH_SCORE_MODEL_CONFLICT,,,,UNKNOWN,NONE,"During the activity of settling of concrete blocks for the ventilation plug wall in the CX-943 of level 3590, in circumstances that the worker made the setting of the union between concrete blocks, a polyethylene pipe of 2 ""diameter was picks up the spike and when it hits it hits the top of the worker's protector."
industrial_safety_000339,0.9803269125596636,P1,HIGH_SCORE_MODEL_CONFLICT,vehicle,,,UNKNOWN,WEAK,"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall."
industrial_safety_000101,0.9790325391620076,P1,HIGH_SCORE_MODEL_CONFLICT,pressure,,,UNKNOWN,WEAK,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal ."
industrial_safety_000384,0.9790121807297196,P1,HIGH_SCORE_MODEL_CONFLICT,electrical | fall_height,,,UNKNOWN,WEAK,"In the tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
industrial_safety_000061,0.978301932101735,P2,,fall_height,caught_between_exposure | fall_exposure,fall_from_height,SUFFICIENT_CONTEXT,SUPPORTED,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves."
industrial_safety_000039,0.9767558583195411,P1,HIGH_SCORE_MODEL_CONFLICT,mechanical,,,UNKNOWN,WEAK,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity."
industrial_safety_000107,0.9763892883285038,P1,HIGH_SCORE_MODEL_CONFLICT,vehicle,,,UNKNOWN,WEAK,"When moving a roll of electro-welded mesh of 95 kg of weight to place on the hopper of the truck, two operators pull the roll of mesh to bring it to the hopper of the truck at which time the imprisonment of the left hand of one of the operators between the mesh and the body of the hopper generating the described injury. At the time of the accident, both operators were wearing PVC-type safety gloves."
industrial_safety_000377,0.9755436931701356,P2,,electrical,electrical_exposure,electrical_contact,SUFFICIENT_CONTEXT,SUPPORTED,Employee performed the task of hoisting big-bags containing waelz oxide and after performing several hoistings the employee suffered a low-voltage electric shock when contacting the hoist when attaching the handle of a big-bag on it.
industrial_safety_000403,0.972831085918763,P1,HIGH_SCORE_MODEL_CONFLICT,,,,UNKNOWN,NONE,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins."
industrial_safety_000186,0.9718696141361544,P1,HIGH_SCORE_MODEL_CONFLICT,vehicle,,,UNKNOWN,WEAK,"At level 2900 at the entrance of the locomotive workshop, the welder proceeds to inspect the mining cars and identifies that the No. 24 car has bearing problems, informs his partner about this finding and decides to enter the car to the workshop, so it operates the swing arm type mona of 15 KG. of weight to move the direction of the railway towards the central OP, is at this moment that pushes the rocker with the weight of his body until his right hand comes in contact with the rock producing the injury described. At the time of the accident the worker was wearing the safety gloves of pad."
