report_id,description,sif_label,split,sif_precursor_probability,precursor_evidence_count,barrier_evidence_count,lsr_candidate_count,top_precursor_mechanisms,barrier_signals,lsr_candidates
industrial_safety_000140,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",YES,test,0.7670891387019364,1,0,0,Electrical energy,,
industrial_safety_000074,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",NO,test,0.7449511607213508,0,0,0,,,
industrial_safety_000420,"In circumstances that the driver of the plate truck W5K-915 of the E.E. IMPROMEC, went from the garit plant chicrin to Nv.3420, after entering an internal mine in the area of ​​Santa where 200 m. approx. from the old dining room, stops the vehicle and informs the co-pilot that he can no longer drive, for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat, complaining intense pain in the lumbar area, citing pain due to overexertion due to routine activity (evacuation of residual oil and solid waste cylinders) that they previously performed. The collaborator at the time of the event used their corresponding EPPS.",NO,test,0.6764513689808687,2,0,1,Vehicle interaction,,Driving
industrial_safety_000364,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",YES,test,0.45568083640924395,2,0,1,Vehicle interaction,,Driving
industrial_safety_000115,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",NO,test,0.34581737077836266,1,0,1,Moving equipment / mechanical energy,,Safe Mechanical Lifting
industrial_safety_000075,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,YES,test,0.27251868892697645,1,0,0,Chemical / hazardous release,,
industrial_safety_000289,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",NO,test,0.0822024315526296,1,0,0,Fall from height,,
industrial_safety_000145,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",NO,test,0.032012563487434365,0,0,0,,,
industrial_safety_000361,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.",YES,test,0.015150549458536172,2,0,1,Vehicle interaction,,Driving
industrial_safety_000077,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",YES,test,0.011380448489938567,1,0,1,Chemical / hazardous release,,Confined Space
industrial_safety_000013,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",YES,validation,,1,0,1,Electrical energy,,Safe Mechanical Lifting
industrial_safety_000025,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",NO,validation,,1,0,0,Chemical / hazardous release,,
industrial_safety_000033,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",YES,train,,2,0,2,Caught-between / pinch mechanism | Fall from height,,Line of Fire | Work at Height
industrial_safety_000034,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,NO,validation,,0,0,0,,,
industrial_safety_000072,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",NO,validation,,0,0,0,,,
industrial_safety_000076,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",NO,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000082,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.",NO,train,,0,0,0,,,
industrial_safety_000095,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",YES,validation,,2,0,1,Fall from height,,Work at Height
industrial_safety_000100,"When positioning the scissor bolter N ° 09 in the East of stope 175 (40 meters from the top), the operator and his assistant verify that the ventilation sleeve will obstruct the support of the left gable, so they decide to section the sleeve and direct it towards the main corridor; the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",YES,validation,,2,0,1,Fall from height,,Work at Height
industrial_safety_000103,"Being 2:40 am. Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level; in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",YES,validation,,2,0,1,Fall from height | Vehicle interaction,,Work at Height
industrial_safety_000108,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",YES,train,,0,0,0,,,
industrial_safety_000112,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,NO,validation,,0,0,0,,,
industrial_safety_000119,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,YES,train,,2,0,1,Chemical / hazardous release | Fall from height,,Work at Height
industrial_safety_000135,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",NO,validation,,1,0,0,Fall from height,,
industrial_safety_000136,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",YES,validation,,1,0,1,Vehicle interaction,,Driving
industrial_safety_000169,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",YES,validation,,5,0,1,Electrical energy | Fall from height | Pressure / stored energy,,Work at Height
industrial_safety_000187,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn.",NO,train,,1,0,0,Chemical / hazardous release,,
industrial_safety_000197,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,NO,train,,0,0,1,,,Hot Work
industrial_safety_000198,"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",NO,train,,1,0,0,Chemical / hazardous release,,
industrial_safety_000210,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",NO,train,,0,0,0,,,
industrial_safety_000219,"On the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",NO,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000222,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,NO,train,,1,0,0,Fall from height,,
industrial_safety_000232,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",YES,train,,0,0,0,,,
industrial_safety_000236,In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator's door. At the time of the event the injured person used all his EPP's.,NO,validation,,1,0,1,Fall from height,,Work at Height
industrial_safety_000239,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",YES,validation,,0,0,0,,,
industrial_safety_000250,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,NO,validation,,2,0,0,Chemical / hazardous release | Moving equipment / mechanical energy,,
industrial_safety_000259,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",NO,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000264,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",YES,validation,,1,0,0,Thermal energy,,
industrial_safety_000272,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",YES,train,,0,0,0,,,
industrial_safety_000284,"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.",YES,train,,1,0,0,Chemical / hazardous release,,
industrial_safety_000297,"At 13:40 hours, Mr. Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",YES,train,,1,0,2,Fall from height,,Driving | Work at Height
industrial_safety_000298,"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.",NO,train,,0,0,0,,,
industrial_safety_000312,"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",YES,validation,,1,0,1,Line-of-fire exposure,,Line of Fire
industrial_safety_000321,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.",YES,train,,2,0,1,Fall from height | Vehicle interaction,,Work at Height
industrial_safety_000323,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",NO,train,,1,0,1,Vehicle interaction,,Driving
industrial_safety_000331,"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.",YES,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000332,"Being 12:20 hours Approximately, in circumstances that the Administrative SSOMAC, was arranged to move the guillotine of the right side towards the center of the table to make cuts of enmicadas pages, when trying to raise the guillotine the middle finger of the right hand It rubs against the edge of the guillotine blade, causing the cut in the yolk of the third finger of the right hand.",NO,validation,,0,0,0,,,
industrial_safety_000337,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.",YES,train,,0,1,0,,Guard gap,
industrial_safety_000338,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail. The evaluation was carried out at the medical center of the unit, the final diagnosis being contusion on the finger.",NO,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000342,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .",YES,train,,1,0,0,Chemical / hazardous release,,
industrial_safety_000346,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury.",NO,validation,,0,0,0,,,
industrial_safety_000371,"During the activity of changing conveyor belt 11B feeding the primary mill No. 2; the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest. At the time of the accident the mechanic was alone in the work area.",YES,train,,2,0,1,Fall from height | Moving equipment / mechanical energy,,Work at Height
industrial_safety_000372,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",YES,validation,,3,1,1,Electrical energy | Caught-between / pinch mechanism,Exclusion / barricade gap,Line of Fire
industrial_safety_000373,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected.",YES,train,,1,0,1,Fall from height,,Work at Height
industrial_safety_000374,"The technician was doing the magnetometric survey when he stepped on a thorn. His reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.",NO,train,,0,0,0,,,
industrial_safety_000383,"During the execution of the soil sampling task at the Potions area, around 1:15 pm, Luis - WCA, was opening with a machete and was bitten by a wasp on the back of his right hand, the same was using at the time of the incident all the EPIs needed for activity. The employee was evaluated by the technician who found it to be a mild and localized swelling wound. The employee reported that he did not feel any pain and that he could continue the activity.",NO,train,,0,0,0,,,
industrial_safety_000385,"In tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.",YES,train,,2,0,2,Electrical energy,,Hot Work | Isolation
industrial_safety_000393,"ACTIVITY: front sanitation (slaughter of choco with scaller) LOCAL: underground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's emergency brigade and transported to the outpatient clinic where he received the first care, and was then transferred to the Municipal of Paracatu.",YES,validation,,0,0,0,,,
industrial_safety_000401,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.",YES,train,,0,0,0,,,
industrial_safety_000410,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post.",YES,train,,2,0,2,Fall from height | Moving equipment / mechanical energy,,Safe Mechanical Lifting | Work at Height
