report_id,evidence_type,sentence_index,mechanism,evidence_text,matched_terms,lsr_candidate,barrier_signal
industrial_safety_000100,precursor,1,Fall from height,"the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters.",height,,
industrial_safety_000100,precursor,2,Fall from height,"At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",platform,,
industrial_safety_000100,lsr,1,,"the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters.",height,Work at Height,
industrial_safety_000100,lsr,2,,"At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",platform,Work at Height,
industrial_safety_000103,precursor,1,Vehicle interaction,"Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level;",loader,,
industrial_safety_000103,precursor,2,Fall from height,"in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",ladder,,
industrial_safety_000103,lsr,2,,"in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",ladder,Work at Height,
industrial_safety_000115,precursor,0,Moving equipment / mechanical energy,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",machin,,
industrial_safety_000115,lsr,0,,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",load,Safe Mechanical Lifting,
industrial_safety_000119,precursor,0,Chemical / hazardous release,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,acid,,
industrial_safety_000119,precursor,0,Fall from height,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,ladder,,
industrial_safety_000119,lsr,0,,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,ladder,Work at Height,
industrial_safety_000135,precursor,0,Fall from height,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",fall,,
industrial_safety_000136,precursor,1,Vehicle interaction,When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described.,truck,,
industrial_safety_000136,lsr,1,,When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described.,truck,Driving,
industrial_safety_000140,precursor,0,Electrical energy,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist.",electric | voltage,,
industrial_safety_000166,precursor,0,Chemical / hazardous release,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber.",leak,,
industrial_safety_000166,precursor,2,Thermal energy,"Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",hot,,
industrial_safety_000169,precursor,0,Electrical energy,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem;",electric,,
industrial_safety_000169,precursor,0,Fall from height,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem;",platform,,
industrial_safety_000169,precursor,2,Electrical energy,"At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",electric,,
industrial_safety_000169,precursor,2,Pressure / stored energy,"At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",pressur | pressure,,
industrial_safety_000169,precursor,2,Fall from height,"At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",platform,,
industrial_safety_000169,lsr,0,,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem;",platform,Work at Height,
industrial_safety_000169,lsr,2,,"At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.",platform,Work at Height,
industrial_safety_000187,precursor,0,Chemical / hazardous release,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn.",acid,,
industrial_safety_000190,precursor,0,Chemical / hazardous release,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",ammonia,,
industrial_safety_000190,lsr,0,,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.",ammonia,Chemical Exposure,
industrial_safety_000197,lsr,0,,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,cutting,Hot Work,
industrial_safety_000198,precursor,2,Chemical / hazardous release,"In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",released,,
industrial_safety_000219,precursor,1,Fall from height,During the accident the employee did not use his specific height gloves for this type of work.,height,,
industrial_safety_000219,lsr,1,,During the accident the employee did not use his specific height gloves for this type of work.,height,Work at Height,
industrial_safety_000222,precursor,0,Fall from height,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,fell,,
industrial_safety_000236,precursor,0,Fall from height,In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m.,height | ladder | platform,,
industrial_safety_000236,lsr,0,,In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m.,height | ladder | platform,Work at Height,
industrial_safety_000250,precursor,0,Moving equipment / mechanical energy,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,conveyor,,
industrial_safety_000250,precursor,0,Chemical / hazardous release,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,acid,,
industrial_safety_000259,precursor,0,Fall from height,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",fall | height,,
industrial_safety_000259,lsr,0,,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",height,Work at Height,
industrial_safety_000264,precursor,0,Thermal energy,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",hot,,
industrial_safety_000284,precursor,1,Chemical / hazardous release,"At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it.",released,,
industrial_safety_000289,precursor,0,Fall from height,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",fell,,
industrial_safety_000297,precursor,1,Fall from height,"Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",fell | height,,
industrial_safety_000297,lsr,1,,"Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",height,Work at Height,
industrial_safety_000297,lsr,1,,"Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",driving,Driving,
industrial_safety_000312,precursor,0,Line-of-fire exposure,"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",struck | struck by,,
industrial_safety_000312,lsr,0,,"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",struck by,Line of Fire,
industrial_safety_000314,precursor,1,Fall from height,"Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",height | ladder,,
industrial_safety_000314,lsr,1,,"Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",height | ladder,Work at Height,
industrial_safety_000321,precursor,0,Vehicle interaction,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills;",loader,,
industrial_safety_000321,precursor,0,Fall from height,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills;",height,,
industrial_safety_000321,lsr,0,,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills;",height,Work at Height,
industrial_safety_000323,precursor,4,Vehicle interaction,"3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",vehicle,,
industrial_safety_000323,lsr,4,,"3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",vehicle,Driving,
industrial_safety_000331,precursor,0,Fall from height,"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.",fall | ladder | platform,,
industrial_safety_000331,lsr,0,,"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.",ladder | platform,Work at Height,
industrial_safety_000337,barrier,0,,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning;",bonnet open,,Guard gap
industrial_safety_000338,precursor,0,Fall from height,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail.",height,,
industrial_safety_000338,lsr,0,,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail.",height,Work at Height,
industrial_safety_000342,precursor,1,Chemical / hazardous release,"3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .",released,,
industrial_safety_000361,precursor,0,Vehicle interaction,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction.",loader | truck,,
industrial_safety_000361,precursor,1,Vehicle interaction,"Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.",loader | truck,,
industrial_safety_000361,lsr,0,,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction.",truck,Driving,
industrial_safety_000361,lsr,1,,"Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.",truck,Driving,
industrial_safety_000364,precursor,0,Vehicle interaction,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side.",vehicle,,
industrial_safety_000364,precursor,1,Vehicle interaction,"When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",vehicle,,
industrial_safety_000364,lsr,0,,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side.",vehicle,Driving,
industrial_safety_000364,lsr,1,,"When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",vehicle,Driving,
industrial_safety_000370,precursor,0,Chemical / hazardous release,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.",acid,,
industrial_safety_000371,precursor,0,Moving equipment / mechanical energy,During the activity of changing conveyor belt 11B feeding the primary mill No.,conveyor,,
industrial_safety_000371,precursor,2,Fall from height,"the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest.",height,,
industrial_safety_000371,lsr,2,,"the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest.",height,Work at Height,
industrial_safety_000372,precursor,1,Caught-between / pinch mechanism,during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer;,between,,
industrial_safety_000372,precursor,2,Electrical energy,there is a loud noise followed by an oscillation of the electrical system.,electric,,
industrial_safety_000372,precursor,3,Electrical energy,"At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",electric,,
industrial_safety_000372,barrier,3,,"At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock .",not blocked,,Exclusion / barricade gap
industrial_safety_000372,lsr,1,,during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer;,between,Line of Fire,
industrial_safety_000373,precursor,0,Fall from height,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse.",height,,
industrial_safety_000373,lsr,0,,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse.",height,Work at Height,
industrial_safety_000382,lsr,0,,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",tank,Confined Space,
industrial_safety_000384,precursor,0,Electrical energy,"In the tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms.",energized,,
industrial_safety_000384,precursor,1,Fall from height,"During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder.",ladder,,
industrial_safety_000384,precursor,2,Electrical energy,Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.,cable | electric,,
industrial_safety_000384,lsr,0,,"In the tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms.",energized,Isolation,
industrial_safety_000384,lsr,1,,"During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder.",ladder,Work at Height,
industrial_safety_000385,precursor,0,Electrical energy,"In tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms.",energized,,
industrial_safety_000385,precursor,2,Electrical energy,Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.,cable | electric,,
industrial_safety_000385,lsr,0,,"In tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms.",energized,Isolation,
industrial_safety_000385,lsr,0,,"In tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms.",cutting,Hot Work,
industrial_safety_000389,precursor,1,Fall from height,"William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr.",platform,,
industrial_safety_000389,lsr,1,,"William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr.",platform,Work at Height,
industrial_safety_000403,precursor,2,Chemical / hazardous release,"approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting).",leak | release,,
industrial_safety_000410,precursor,0,Moving equipment / mechanical energy,In moments when the 02 collaborators carried out the inspection of the conveyor belt No.,conveyor,,
industrial_safety_000410,precursor,1,Fall from height,3 from the tail pulley when they were at the height of the load polymer No.,height,,
industrial_safety_000410,lsr,1,,3 from the tail pulley when they were at the height of the load polymer No.,height,Work at Height,
industrial_safety_000410,lsr,1,,3 from the tail pulley when they were at the height of the load polymer No.,load,Safe Mechanical Lifting,
industrial_safety_000420,precursor,0,Vehicle interaction,In circumstances that the driver of the plate truck W5K-915 of the E.E.,truck,,
industrial_safety_000420,precursor,3,Vehicle interaction,"from the old dining room, stops the vehicle and informs the co-pilot that he can no longer drive, for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat, complaining intense pain in the lumbar area, citing pain due to overexertion due to routine activity (evacuation of residual oil and solid waste cylinders) that they previously performed.",vehicle,,
industrial_safety_000420,lsr,0,,In circumstances that the driver of the plate truck W5K-915 of the E.E.,driver | truck,Driving,
industrial_safety_000420,lsr,3,,"from the old dining room, stops the vehicle and informs the co-pilot that he can no longer drive, for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat, complaining intense pain in the lumbar area, citing pain due to overexertion due to routine activity (evacuation of residual oil and solid waste cylinders) that they previously performed.",drive | vehicle,Driving,
industrial_safety_000422,precursor,1,Fire / explosion energy,"Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",fire,,
industrial_safety_000422,precursor,1,Line-of-fire exposure,"Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",line of fire,,
industrial_safety_000422,lsr,1,,"Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",line of fire,Line of Fire,
industrial_safety_000422,lsr,1,,"Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire",load,Safe Mechanical Lifting,
industrial_safety_000426,precursor,0,Vehicle interaction,"In circumstance, the AHK-903 license plate (Empresa which serves the supervision of CMA, carried out the field inspections in the upper bank 4288, when unexpectedly when climbing through the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor.",excavat,,
industrial_safety_000426,precursor,1,Vehicle interaction,The occupants of the vehicle made use of the safety belt and all the complete epps.,vehicle,,
industrial_safety_000426,lsr,1,,The occupants of the vehicle made use of the safety belt and all the complete epps.,vehicle,Driving,
