report_id,sif_precursor_band,sif_precursor_score,primary_trigger,reason_codes,gate_codes,barriers_present,barriers_failed,lsr_candidates,lsr_scores
industrial_safety_000187,LOW,0.06,Burn / thermal injury,generic exposure signal,,,,,
industrial_safety_000190,LOW,0.06,Chemical energy / hazardous substance,generic exposure signal; potential severity signal not sufficiently grounded,potential severity gate failed,,,,
industrial_safety_000197,LOW,0.06,Cut / laceration,generic exposure signal; observed outcome is low severity without credible escalation gate,,,,,
industrial_safety_000198,LOW,0.2,No strong SIF precursor signal,specific exposure pathway,,,,Line of Fire,Line of Fire:0.430
industrial_safety_000210,LOW,0.0,No strong SIF precursor signal,,,,,,
industrial_safety_000219,LOW,0.33,Fall-from-height energy,high-energy mechanism; generic exposure signal; explicit barrier failure/absence; protective control explicitly present,,PPE,PPE,Work at Height,Work at Height:0.780
industrial_safety_000222,LOW,0.06,Biological / animal hazard,generic exposure signal,,,,Work at Height,Work at Height:0.350
industrial_safety_000232,LOW,0.17,Eye / facial injury,specific exposure pathway; protective control explicitly present,,PPE,,Line of Fire,Line of Fire:0.430
industrial_safety_000236,LOW,0.23,Fall-from-height energy,high-energy mechanism; generic exposure signal; protective control explicitly present,,Fall protection,,Work at Height,Work at Height:0.980
industrial_safety_000239,LOW,0.0,No strong SIF precursor signal,protective control explicitly present,,Guard / physical protection,,,
industrial_safety_000250,LOW,0.26,Struck-by / impact injury,high-energy mechanism; generic exposure signal; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,Isolation,Isolation:0.700
industrial_safety_000259,LOW,0.3,Vehicle / mobile equipment energy,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded; explicit barrier failure/absence; 0.6 m fall is low-energy without secondary severe mechanism,potential severity gate failed,,Fall protection / safe access,Work at Height; Seat Belt; Driving,Work at Height:0.780; Seat Belt:0.350; Driving:0.350
industrial_safety_000264,MEDIUM,0.51,Potential severe thermal injury,high-energy mechanism; generic exposure signal; credible severe potential pathway,potential severity gate passed,,,Hot Work,Hot Work:0.430
industrial_safety_000272,LOW,0.07,No strong SIF precursor signal,explicit barrier failure/absence; protective control explicitly present,,PPE,PPE,,
industrial_safety_000284,HIGH,0.65,Potential severe projectile injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway,potential severity gate passed,,,Line of Fire; Safe Mechanical Lifting,Line of Fire:0.860; Safe Mechanical Lifting:0.350
industrial_safety_000289,LOW,0.06,Slip / trip surface hazard,generic exposure signal,,,,Work at Height,Work at Height:0.350
industrial_safety_000297,MEDIUM,0.36,Fall-from-height energy,high-energy mechanism; generic exposure signal; explicit barrier failure/absence,,,Fall protection / safe access,Work at Height,Work at Height:1.000
industrial_safety_000298,LOW,0.0,No strong SIF precursor signal,,,,,,
industrial_safety_000312,HIGH,0.65,Potential severe thermal injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway,potential severity gate passed,,,Line of Fire; Hot Work,Line of Fire:0.860; Hot Work:0.430
industrial_safety_000314,LOW,0.26,Fall-from-height energy,high-energy mechanism; generic exposure signal,,,,Work at Height,Work at Height:0.980
industrial_safety_000321,HIGH,0.75,Potential severe projectile injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway; explicit barrier failure/absence,potential severity gate passed,,Structural / ground control,Work at Height; Safe Mechanical Lifting; Seat Belt,Work at Height:0.780; Safe Mechanical Lifting:0.430; Seat Belt:0.350
industrial_safety_000323,MEDIUM,0.37,Vehicle / mobile equipment energy,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded; protective control explicitly present,potential severity gate failed,Guard / physical protection,,Seat Belt; Driving,Seat Belt:0.350; Driving:0.350
industrial_safety_000331,LOW,0.3,Struck-by / impact injury,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,Work at Height; Seat Belt; Driving,Work at Height:0.980; Seat Belt:0.350; Driving:0.350
industrial_safety_000332,LOW,0.2,Cut / laceration,high-energy mechanism; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,Isolation,Isolation:0.350
industrial_safety_000337,LOW,0.3,Mechanical / moving equipment energy,high-energy mechanism; potential severity signal not sufficiently grounded; explicit barrier failure/absence,potential severity gate failed,,Machine energy isolation,Isolation,Isolation:0.430
industrial_safety_000338,LOW,0.26,Struck-by / impact injury,high-energy mechanism; generic exposure signal; observed outcome is low severity without credible escalation gate,,,,Work at Height,Work at Height:0.780
industrial_safety_000342,MEDIUM,0.37,Pressure / stored energy,high-energy mechanism; specific exposure pathway; protective control explicitly present,,Guard / physical protection,,Line of Fire; Isolation,Line of Fire:0.780; Isolation:0.350
industrial_safety_000346,LOW,0.03,No strong SIF precursor signal,generic exposure signal; protective control explicitly present,,PPE,,,
industrial_safety_000361,LOW,0.3,Struck-by / impact injury,high-energy mechanism; specific exposure pathway; observed outcome is low severity without credible escalation gate,,,,Seat Belt; Driving,Seat Belt:0.350; Driving:0.350
industrial_safety_000364,MEDIUM,0.4,Vehicle / mobile equipment energy,high-energy mechanism; specific exposure pathway,,,,Seat Belt; Driving; Safe Mechanical Lifting,Seat Belt:0.350; Driving:0.350; Safe Mechanical Lifting:0.350
industrial_safety_000370,HIGH,0.65,Potential severe chemical injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway,potential severity gate passed,,,Line of Fire; Safe Mechanical Lifting,Line of Fire:0.780; Safe Mechanical Lifting:0.350
industrial_safety_000371,MEDIUM,0.4,Mechanical / moving equipment energy,high-energy mechanism; specific exposure pathway,,,,Work at Height; Isolation,Work at Height:0.780; Isolation:0.350
industrial_safety_000372,HIGH,0.85,Electrical injury,high-energy mechanism; specific exposure pathway; severe actual consequence; explicit barrier failure/absence,,,Exclusion / line-of-fire control,Isolation,Isolation:0.350
industrial_safety_000373,HIGH,0.62,Potential severe vehicle injury,high-energy mechanism; specific exposure pathway; credible severe potential pathway; protective control explicitly present,potential severity gate passed,Guard / physical protection,,Work at Height; Seat Belt; Driving,Work at Height:0.780; Seat Belt:0.350; Driving:0.350
industrial_safety_000374,LOW,0.0,Biological / animal hazard,,,,,,
industrial_safety_000382,LOW,0.2,Burn / thermal injury,specific exposure pathway,,,,Line of Fire,Line of Fire:0.430
industrial_safety_000383,LOW,0.0,Cut / laceration,observed outcome is low severity without credible escalation gate,,,,,
industrial_safety_000384,LOW,0.3,Cut / laceration,high-energy mechanism; specific exposure pathway; protective control explicitly present; observed outcome is low severity without credible escalation gate,,De-energization; Emergency / detection control; Exclusion / traffic control; Guard / physical protection; Isolation / LOTO,,Work at Height; Isolation,Work at Height:0.980; Isolation:0.510
industrial_safety_000385,LOW,0.3,Cut / laceration,high-energy mechanism; specific exposure pathway; protective control explicitly present; observed outcome is low severity without credible escalation gate,,De-energization; Emergency / detection control; Exclusion / traffic control; Guard / physical protection; Isolation / LOTO,,Isolation,Isolation:0.510
industrial_safety_000389,LOW,0.23,Cut / laceration,high-energy mechanism; generic exposure signal; protective control explicitly present; observed outcome is low severity without credible escalation gate,,PPE,,Work at Height,Work at Height:0.350
industrial_safety_000393,LOW,0.26,Struck-by / impact injury,high-energy mechanism; generic exposure signal; potential severity signal not sufficiently grounded; observed outcome is low severity without credible escalation gate,potential severity gate failed,,,Work at Height; Safe Mechanical Lifting,Work at Height:0.550; Safe Mechanical Lifting:0.350
industrial_safety_000401,LOW,0.2,No strong SIF precursor signal,specific exposure pathway,,,,Line of Fire,Line of Fire:0.430
industrial_safety_000403,HIGH,0.61,Fatality,high-energy mechanism; generic exposure signal; severe actual consequence,,Emergency / detection control,,Work at Height,Work at Height:0.980
industrial_safety_000410,MEDIUM,0.4,Mechanical / moving equipment energy,high-energy mechanism; specific exposure pathway,,,,Work at Height; Line of Fire; Isolation,Work at Height:0.780; Line of Fire:0.780; Isolation:0.350
industrial_safety_000420,MEDIUM,0.37,Fall injury,high-energy mechanism; specific exposure pathway; protective control explicitly present,,Emergency / detection control; PPE,,Seat Belt; Driving,Seat Belt:0.350; Driving:0.350
industrial_safety_000422,MEDIUM,0.5,Pressure / stored energy,high-energy mechanism; specific exposure pathway; explicit barrier failure/absence,,,Exclusion / line-of-fire control,Line of Fire; Isolation; Seat Belt,Line of Fire:1.000; Isolation:0.350; Seat Belt:0.350
industrial_safety_000426,MEDIUM,0.37,Mechanical / moving equipment energy,high-energy mechanism; specific exposure pathway; potential severity signal not sufficiently grounded; protective control explicitly present,potential severity gate failed,PPE,,Seat Belt; Isolation; Driving,Seat Belt:0.430; Isolation:0.350; Driving:0.350
