report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence,annotator_id,annotated_at_utc,exposure_notes
industrial_safety_000091,industrial_safety_analytics_database,incident,2016-03-24T00:00:00,Country_03,Local_10,Others,,,"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities.",,,,,['Poll'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party,when performing the sleeve removal maneuver when the hole was 600 meters deep general da silva pressed only one side of the locking nut of the rods which together with the jack holds the entire weight of the rods in the maneuver as the locking procedure was not effective the weight of the rods was only secured by the steel wire rope of the probe winch at the moment that driller pedro released the brake of the winch the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey caused the sliding of the rods auxiliary was prepared for manual unlocking of the rods holding the faucet key firmly against the probe tower as the composition shifted as the stems slid his hands were shifted downward causing his left hand to strike against the base of the probe tower structure causing cuts to the 4th and 5th quirodactyl employee was taken to the hospital where he went through medical care wound was sutured with 16 stitches same was removed for 10 days from his activities,DUP_0392,1,False,4,4,4,1029,['Poll'],medium_high,pending,,,,,,,,,
industrial_safety_000106,industrial_safety_analytics_database,incident,2016-04-17T00:00:00,Country_02,Local_05,Metals,,,"Employee reports that when attempting to manually ingot of Zinco, on the rotary table of the L1 ingot, hit with the left hand against the angle in the structure of the ingot, by pressing the finger between the ingot and the angle.",,,,,['Cut'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,employee reports that when attempting to manually ingot of zinco on the rotary table of the l1 ingot hit with the left hand against the angle in the structure of the ingot by pressing the finger between the ingot and the angle,DUP_0176,1,False,4,4,1,230,['Cut'],medium_high,pending,,,,,,,,,
industrial_safety_000137,industrial_safety_analytics_database,incident,2016-05-24T00:00:00,Country_03,Local_10,Others,,,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care.",,,,,['Fall'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party,during field trip to return to work after lunch the employee of the wellfield company slipped on the loose stones that were in the place at that moment with the intention of balancing he tried hold onto a tree falling under the right arm causing fracture at the distal end of the radius the activity was paralyzed and the employee was referred to the hospital in paracatu where he underwent medical care,DUP_0110,1,False,4,4,4,411,['Fall'],medium_high,pending,,,,,,,,,
industrial_safety_000183,industrial_safety_analytics_database,incident,2016-07-09T00:00:00,Country_03,Local_10,Others,,,"During execution of drilling on the target - Bolt BRJCLDD0006, made by the company SERVITECFORACO - probe 25, at 09:45 on July 9, 2016, the official Josimar da Silva, in the moment of the maneuver to fish material, when removing the feeder of water, during movement of the winch realized that the safety chain was loose and could curl in the rod. In performing the chain removal movement, he placed his left hand between the hose and the cap of the hydraulic plate. With the unlocking of the inner tube there was an abrupt movement of the chain, pushing his hand towards the hydraulic plate, causing an injury to the ring finger of this hand. The lesion caused a cut in the 4th Quirodactyl, with a need for suture of 3 points to close the cut.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Male,Third Party,during execution of drilling on the target  bolt brjcldd0006 made by the company servitecforaco  probe 25 at 0945 on july 9 2016 the official josimar da silva in the moment of the maneuver to fish material when removing the feeder of water during movement of the winch realized that the safety chain was loose and could curl in the rod in performing the chain removal movement he placed his left hand between the hose and the cap of the hydraulic plate with the unlocking of the inner tube there was an abrupt movement of the chain pushing his hand towards the hydraulic plate causing an injury to the ring finger of this hand the lesion caused a cut in the 4th quirodactyl with a need for suture of 3 points to close the cut,DUP_0109,1,False,4,4,3,743,['Others'],medium_high,pending,,,,,,,,,
industrial_safety_000202,industrial_safety_analytics_database,incident,2016-08-11T00:00:00,Country_02,Local_12,Others,,,"On leaving the Company the employee stumbled onto the exit ladder of the building and fell 3 steps, causing twisting of the ankle and grating on the cinnamon",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Female,Employee,on leaving the company the employee stumbled onto the exit ladder of the building and fell 3 steps causing twisting of the ankle and grating on the cinnamon,DUP_0270,1,False,4,4,1,157,['Others'],medium_high,pending,,,,,,,,,
industrial_safety_000226,industrial_safety_analytics_database,incident,2016-09-12T00:00:00,Country_01,Local_11,Others,,,"In the city of Conchucos, of Ancash, participating in a patronal feast, representing the company, was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event, the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Female,Employee,in the city of conchucos of ancash participating in a patronal feast representing the company was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs,DUP_0239,1,False,4,4,3,403,['Others'],medium_high,pending,,,,,,,,,
industrial_safety_000230,industrial_safety_analytics_database,incident,2016-09-16T00:00:00,Country_02,Local_05,Metals,,,"Employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the Ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm.",,,,,['Pressurized Systems'],[],[],[],[],[],II,IV,,,v0.1,Male,Employee,employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the ustulation area through the side window when he was struck by projection of heated air that reached his face and right forearm,DUP_0173,1,False,4,4,2,247,['Pressurized Systems'],medium_high,pending,,,,,,,,,
industrial_safety_000305,industrial_safety_analytics_database,incident,2017-01-08T00:00:00,Country_02,Local_05,Metals,,,"Employee performed withdrawal of electrical failure in the engine control drawer of the TQ 14 A, after the check and exchange of fuses, it closed the door of the drawer and energized the drawer, at this moment an arc was opened, reaching the face and part of the employee's forearm, causing minor burns.",,,,,['Projection/Burning'],[],[],[],[],[],II,IV,,,v0.1,Male,Employee,employee performed withdrawal of electrical failure in the engine control drawer of the tq 14 a after the check and exchange of fuses it closed the door of the drawer and energized the drawer at this moment an arc was opened reaching the face and part of the employees forearm causing minor burns,DUP_0168,1,False,4,4,2,303,['Projection/Burning'],medium_high,pending,,,,,,,,,
industrial_safety_000308,industrial_safety_analytics_database,incident,2017-01-10T00:00:00,Country_03,Local_10,Others,,,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering.",,,,,['Fall prevention'],[],[],[],[],[],I,IV,,,v0.1,Male,Third Party,the auxiliary of general services i paulo e silva with 5 months and 10 days of work was performing the activity of soil collection during the movement of equipment to the next point holding a lever it encountered a piece of sloping ground and with interlaced vegetation which caused the fall of the to the left the same side where the tool was held the rapid fall prevented the employee from leaning causing a shock of the elbow with the ground the employee continued the activity for another 3 points of sample collection until he felt the arm bothering,DUP_0287,1,False,4,4,1,566,['Fall prevention'],medium_high,pending,,,,,,,,,
industrial_safety_000340,industrial_safety_analytics_database,incident,2017-02-13T00:00:00,Country_02,Local_05,Metals,,,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 ruptured after it started to operate, designing solution heated towards the employee, reaching his left forearm causing irritation in the skin.",,,,,['Projection'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,during the maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the reserve pump 02bp0167 ruptured after it started to operate designing solution heated towards the employee reaching his left forearm causing irritation in the skin,DUP_0137,1,False,4,4,1,276,['Projection'],medium_high,pending,,,,,,,,,
industrial_safety_000341,industrial_safety_analytics_database,incident,2017-02-13T00:00:00,Country_02,Local_05,Metals,,,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 was disrupted, after it started to operate, designing solution heated towards the employee, reaching his left forearm, causing a burn .",,,,,['Burn'],[],[],[],[],[],III,IV,,,v0.1,Male,Employee,during the maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the reserve pump 02bp0167 was disrupted after it started to operate designing solution heated towards the employee reaching his left forearm causing a burn,DUP_0138,1,False,4,4,3,268,['Burn'],medium_high,pending,,,,,,,,,
industrial_safety_000350,industrial_safety_analytics_database,incident,2017-02-25T00:00:00,Country_01,Local_01,Mining,,,"During the mining cycle at the Chimney 410; before starting with the drilling work to anchor the lane of the alimak system, the collaborator squat to pick up a manual tool that is on the platform; it is at this moment that the jackleg team loses its position and projects towards the back of the collaborator generating the injury.",,,,,['Fall'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party (Remote),during the mining cycle at the chimney 410 before starting with the drilling work to anchor the lane of the alimak system the collaborator squat to pick up a manual tool that is on the platform it is at this moment that the jackleg team loses its position and projects towards the back of the collaborator generating the injury,DUP_0143,1,False,4,4,4,331,['Fall'],medium_high,pending,,,,,,,,,
industrial_safety_000390,industrial_safety_analytics_database,incident,2017-04-19T00:00:00,Country_03,Local_10,Others,,,"On 04/19/2017, the employee de Lima da Silva was composing the team of opening of bite to survey of IP. The team consisted of one mining technician and three assistants. When was moving in the bite he touched his left foot on a stump of Tucum that was on the ground covered with dry leaves of vegetation near drainage. When he felt the thorn piercing on his foot, he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot. After removal of the spine the foot was washed and it was verified that there was no other injury. After the event the technician waxed the activity and returned to the city of Porangatu / GO. It was not necessary to take the employee to the health unit.",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Male,Third Party,on 04192017 the employee de lima da silva was composing the team of opening of bite to survey of ip the team consisted of one mining technician and three assistants when was moving in the bite he touched his left foot on a stump of tucum that was on the ground covered with dry leaves of vegetation near drainage when he felt the thorn piercing on his foot he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot after removal of the spine the foot was washed and it was verified that there was no other injury after the event the technician waxed the activity and returned to the city of porangatu  go it was not necessary to take the employee to the health unit,DUP_0266,1,False,4,4,1,735,['Others'],medium_high,pending,,,,,,,,,
