report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric
industrial_safety_000086,industrial_safety_analytics_database,incident,2016-04-03T00:00:00,Country_01,Local_01,Mining,,,"During the plant stop scheduled for maintenance, almost at the end of the change of the ""T"" fitting of the HDP pipe with a diameter of 14 "", the Resident enters the work zone from the bottom to supervise the work, in that At the moment four workers - anchored with harness - that were in the upper part manipulating the accessory ""T"" to tie the flanges of the HDP pipe and PVC of 14 ""diameter, suddenly the PVC pipe comes out of its support (pipe with fine material of tailings (Weight 700kg.)) and falls from a height of 2 meters to the floor, bounces and imprisons the resident engineer. Only the injured worker was in the lower part or line of fire.",,,,,['Others'],[],[],[],[],[],III,V,,,,Male,Third Party,during the plant stop scheduled for maintenance almost at the end of the change of the t fitting of the hdp pipe with a diameter of 14  the resident enters the work zone from the bottom to supervise the work in that at the moment four workers  anchored with harness  that were in the upper part manipulating the accessory t to tie the flanges of the hdp pipe and pvc of 14 diameter suddenly the pvc pipe comes out of its support pipe with fine material of tailings weight 700kg and falls from a height of 2 meters to the floor bounces and imprisons the resident engineer only the injured worker was in the lower part or line of fire,DUP_0145,1,False,5
industrial_safety_000176,industrial_safety_analytics_database,incident,2016-07-02T00:00:00,Country_01,Local_03,Mining,,,"In access 2 of level 3910, during the installation activity of hydraulic filling pipes of 4 ""diameter, when installing a section 80 m to a height of 5.6 m with reference to the floor, the master of hydraulic filling - accident - and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury. At the time of the accident the employee used his rubber gloves.",,,,,['Others'],[],[],[],[],[],V,V,,,,Male,Third Party,in access 2 of level 3910 during the installation activity of hydraulic filling pipes of 4 diameter when installing a section 80 m to a height of 56 m with reference to the floor the master of hydraulic filling  accident  and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury at the time of the accident the employee used his rubber gloves,DUP_0193,1,False,5
industrial_safety_000395,industrial_safety_analytics_database,incident,2017-04-24T00:00:00,Country_01,Local_03,Mining,,,"In circumstances that Mr. Efraín OSORIO FELIX - Mina 2nd. He entered the interior of Pocket 2 at level 2865 (Before -1205). It activated the compressed air gun that is installed in the lower part of the structure with a nozzle that communicates the air lung with the internal part of the pocket, projecting a violent flow of air that blows the left leg of the worker and generates a stun by the noise produced.",,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Employee,in circumstances that mr efraín osorio felix  mina 2nd he entered the interior of pocket 2 at level 2865 before 1205 it activated the compressed air gun that is installed in the lower part of the structure with a nozzle that communicates the air lung with the internal part of the pocket projecting a violent flow of air that blows the left leg of the worker and generates a stun by the noise produced,DUP_0200,1,False,5
industrial_safety_000088,industrial_safety_analytics_database,incident,2016-04-01T00:00:00,Country_01,Local_01,Mining,,,"In circumstances that two workers of the Abratech company were doing putty work inside the conditioning tank (5 meters deep and covered by platforms) of metal gratings - grating- in the upper part), two other employees of the HyT company carried out maneuvers transfer of a pump with the help of a manual tick - which worked hooked to a beam H, dragging the pump on the metal gratings (grating), suddenly the pump is hooked with a metal grate (grating) and when trying to release it, the metal grid (grating - 13.0 Kg. (60 cm x 92 cm)) falls inside the tank, hits a diagonal channel inside the tank and then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching. The area where the bomb was being moved was marked with tape and did not have a lookout.",,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Third Party (Remote),in circumstances that two workers of the abratech company were doing putty work inside the conditioning tank 5 meters deep and covered by platforms of metal gratings  grating in the upper part two other employees of the hyt company carried out maneuvers transfer of a pump with the help of a manual tick  which worked hooked to a beam h dragging the pump on the metal gratings grating suddenly the pump is hooked with a metal grate grating and when trying to release it the metal grid grating  130 kg 60 cm x 92 cm falls inside the tank hits a diagonal channel inside the tank and then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching the area where the bomb was being moved was marked with tape and did not have a lookout,DUP_0212,2,True,5
industrial_safety_000064,industrial_safety_analytics_database,incident,2016-03-11T00:00:00,Country_01,Local_03,Mining,,,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Third Party,in circumstances that two workers of the company incimmet fectuaban the loading of explosives using an equipment anfoloader in a front of the work  sustained with shotcreterepentinamente of the right superior part of the crown a piece of rock of approx 9 kg 02mx015mx010m impacting on the basket and on the back of the helper who was in the basket suspended at 22 m height moments later a block of rock is detached from the wall of the gable approx 1500 kg 120mx110mx040m which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground the equipment anfoloader has a cabin with protection rops and fops at the time of the accident both workers used helmets and safety boots both suffered polyontusions and minor scoria injuries,DUP_0213,1,False,5
industrial_safety_000063,industrial_safety_analytics_database,incident,2016-03-11T00:00:00,Country_01,Local_03,Mining,,,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",,,,,['Others'],[],[],[],[],[],III,V,,,,Male,Third Party,in circumstances that two workers of the company incimmet made the loading of explosives using an equipment anfoloader in a front of the work  sustained with shotcreterepentinamente of the right superior part of the crown a piece of rock of approx 9 kg 02mx015mx010m impacting on the basket and on the back of the helper who was in the basket suspended at 22 m height moments later a block of rock is detached from the wall of the gable approx 1500 kg 120mx110mx040m which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground the equipment anfoloader has a cabin with protection rops and fops at the time of the accident both workers used helmets and safety boots both suffered polyontusions and minor scoria injuries,DUP_0214,1,False,5
industrial_safety_000331,industrial_safety_analytics_database,incident,2017-02-07T00:00:00,Country_01,Local_03,Mining,,,"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee.",,,,,['remains of choco'],[],[],[],[],[],II,V,,,,Male,Employee,in level 2900  op 5 the worker performed the chuteo ore from the hopper to the second car perceived a slip of water and mud through the hopper decided to leave the platform and when he was already down the second rung of the ladder of access the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee,DUP_0220,1,False,5
industrial_safety_000013,industrial_safety_analytics_database,incident,2016-02-02T00:00:00,Country_01,Local_01,Mining,,,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",,,,,['Electrical installation'],[],[],[],[],[],IV,V,,,,Male,Third Party,in moments that the operator of the jumbo 2 tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of nv 3300 remove the lock and opening the electric board of 440v and 400a and when lifting the thermomagnetic key this makes phase to ground  phase contact with the panel shell  producing a flash which reaches the operator causing the injury described,DUP_0224,1,False,5
industrial_safety_000342,industrial_safety_analytics_database,incident,2017-02-14T00:00:00,Country_01,Local_03,Mining,,,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .",,,,,['Pressed'],[],[],[],[],[],IV,V,,,,Male,Third Party,in the nv 3370 cx 212  south when the mechanic loosens a through bolt of the intermediate cardan protector of the dumper 01 the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder position 2,DUP_0243,1,False,5
industrial_safety_000361,industrial_safety_analytics_database,incident,2017-03-04T00:00:00,Country_02,Local_02,Mining,,,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],I,V,,,,Male,Employee,the employee who was hitchhiking on the cep 403 truck equipment he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction upon returning to the truck it was hit in the arm left by the loader tire that was traveling along the road and passed the cep403 on the right,DUP_0325,1,False,5
industrial_safety_000401,industrial_safety_analytics_database,incident,2017-05-06T00:00:00,Country_02,Local_07,Mining,,,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.",,,,,['Projection'],[],[],[],[],[],IV,V,,,,Male,Employee,the employees márcio and sérgio performed the pump pipe clearing activity fz10314 and during the removal of the suction spool flange bolts there was projection of pulp over them causing injuries,DUP_0327,2,True,5
industrial_safety_000337,industrial_safety_analytics_database,incident,2017-02-09T00:00:00,Country_01,Local_03,Mining,,,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.",,,,,['Power lock'],[],[],[],[],[],IV,V,,,,Male,Third Party (Remote),the spillway circumstances where the worker was cleaning with the use of an absorbent cloth oil residues from the right edge of the atlas axs186 compressor with the bonnet open and in functioning the rag falls inside the ompressor and in the attempt to remove it it is hooked on the fans propeller pulling the workers left hand toward the propeller causing the injury,DUP_0351,1,False,5
industrial_safety_000140,industrial_safety_analytics_database,incident,2016-05-27T00:00:00,Country_02,Local_02,Mining,,,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Employee,when checking voltage at the power outlet of the the plug and socket to make sure the connection was correct when there was a small electrical arc in the power cord causing a slight burn in the right hand wrist the protection system acted immediately,DUP_0370,1,False,5
industrial_safety_000262,industrial_safety_analytics_database,incident,2016-11-04T00:00:00,Country_01,Local_03,Mining,,,"When observing the pulp overflow of the overflow reception drawer of the thickener, the filter operator approaches to verify the operation of the C7-26 pump, making sure that it was stopped. So press the keypad to start the pump and not getting the start, proceeds to remove the guard and manipulates the motor - pump transmission strips, being left hand imprisoned between the pulley of motor and transmission belt",,,,,['Others'],[],[],[],[],[],IV,V,,,,Male,Employee,when observing the pulp overflow of the overflow reception drawer of the thickener the filter operator approaches to verify the operation of the c726 pump making sure that it was stopped so press the keypad to start the pump and not getting the start proceeds to remove the guard and manipulates the motor  pump transmission strips being left hand imprisoned between the pulley of motor and transmission belt,DUP_0384,1,False,5
industrial_safety_000108,industrial_safety_analytics_database,incident,2016-04-21T00:00:00,Country_02,Local_02,Mining,,,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Employee,when performing cleaning with lhd in block f 9970 at level 420 the operator was surprised by a rock block displacement of the side of the gallery reaching his right leg causing him superficial injury,DUP_0387,1,False,5
industrial_safety_000403,industrial_safety_analytics_database,incident,2017-05-10T00:00:00,Country_01,Local_04,Mining,,,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",,,,,['Fall'],[],[],[],[],[],V,V,,,,Male,Third Party,when performing shotcrete casting for resane on cruise 791 nv 1940 at 0250 pm approximately the operator was placed on the left side of the equipment and started the release of 02 cubic meters at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock setting when restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not so they assume that he had fallen down the chimney they left the job to ask for help immediately the emergency response brigade and the medical service are activated who verify the death of the collaborator the accident investigation begins,DUP_0389,1,False,5
industrial_safety_000037,industrial_safety_analytics_database,incident,2016-02-24T00:00:00,Country_02,Local_07,Mining,,,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,,,,,['Others'],[],[],[],[],[],I,V,,,,Male,Employee,when starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it due to the movement of the coil the bees were excited realizing the fact the operator turned off the equipment and left the area people passing by were stung,DUP_0396,2,True,5
industrial_safety_000373,industrial_safety_analytics_database,incident,2017-03-25T00:00:00,Country_01,Local_03,Mining,,,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],II,V,,,,Male,Third Party,when the mixer 01 of the ecm incimmet sa moved by the positive south ramp with direction to surface unicon concrete plant at the height of the 3630 before 440 the operator observes that untimely lights and the engine go off the control controls do not respond and the equipment starts to reverse at 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left in the area in the circumstances of the event there was no presence of personnel or equipment that could have been affected,DUP_0399,1,False,5
industrial_safety_000365,industrial_safety_analytics_database,incident,2017-03-08T00:00:00,Country_01,Local_01,Mining,,,"When the scoop was heading from Rpa 910 to the cut-off point of the Cro 861 South to be unloaded, it visualizes a truck that was parked with the lights and the engine ignited inside the thrust - where the Scoop found accumulating dismount-; the operator stops the Scoop and gets off to tell the driver of the truck to leave and when he finds no one he decides to go and look for the driver at the top of Cro 861 South, where he can not find it; Then he returns to his Scoop and at 15 to 20 meters visualizes the light of a lamp shining in the direction of the gable, when approaching, he finds the deceased lying on the side of the Scoop and proceeds to give immediate notice to the supervisory of the shift, control center and emergency center.",,,,,['Vehicles and Mobile Equipment'],[],[],[],[],[],V,V,,,,Male,Third Party,when the scoop was heading from rpa 910 to the cutoff point of the cro 861 south to be unloaded it visualizes a truck that was parked with the lights and the engine ignited inside the thrust  where the scoop found accumulating dismount the operator stops the scoop and gets off to tell the driver of the truck to leave and when he finds no one he decides to go and look for the driver at the top of cro 861 south where he can not find it then he returns to his scoop and at 15 to 20 meters visualizes the light of a lamp shining in the direction of the gable when approaching he finds the deceased lying on the side of the scoop and proceeds to give immediate notice to the supervisory of the shift control center and emergency center,DUP_0401,1,False,5
industrial_safety_000130,industrial_safety_analytics_database,incident,2016-05-14T00:00:00,Country_01,Local_01,Mining,,,"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",,,,,['Others'],[],[],[],[],[],I,IV,,,,Male,Third Party,after completing the welding work on the backhoe bucket made for 4 hours during which he used glass moon  10 the welder feels a slight discomfort in the eyes so he is transferred to the medical service for evaluation  during the accident the welder used facial mask for welding,DUP_0004,1,False,4
industrial_safety_000041,industrial_safety_analytics_database,incident,2016-02-26T00:00:00,Country_01,Local_06,Metals,,,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",,,,,['Pressurized Systems / Chemical Substances'],[],[],[],[],[],I,IV,,,,Male,Third Party (Remote),approx at 1122 am there is a leakage of sulfur dioxide so2 from section 2030 due to water seal blowing due to overpressure of the acid plant at that moment there were 13 collaborators of cormei companies eissa and cosapi doing work near the impacted area who were evacuated to the medical center for their care then returned to their usual work,DUP_0015,1,False,4
industrial_safety_000265,industrial_safety_analytics_database,incident,2016-11-11T00:00:00,Country_01,Local_06,Metals,,,"Approximately at 02:10 a.m. Mr. Wilmer approaches the C150 drying tower for the placement of a blanket, to cover the entrance manhole of the tower; at that moment the manhole cover resting on the railing slides, impacting on his right leg.",,,,,['Others'],[],[],[],[],[],IV,IV,,,,Male,Employee,approximately at 0210 am mr wilmer approaches the c150 drying tower for the placement of a blanket to cover the entrance manhole of the tower at that moment the manhole cover resting on the railing slides impacting on his right leg,DUP_0017,1,False,4
industrial_safety_000004,industrial_safety_analytics_database,incident,2016-01-10T00:00:00,Country_01,Local_04,Mining,,,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",,,,,['Others'],[],[],[],[],[],IV,IV,,,,Male,Third Party,approximately at 1145 am in circumstances that the mechanics anthony group leader eduardo and eric fernándezinjuredthe three of the company impromec performed the removal of the pulley of the motor of the pump 3015 in the zaf of marcy 27 cm  length 33 cm  weight 70 kg as it was locked proceed to heating the pulley to loosen it it comes out and falls from a distance of 106 meters high and hits the instep of the right foot of the worker causing the injury described,DUP_0018,1,False,4
industrial_safety_000073,industrial_safety_analytics_database,incident,2016-03-18T00:00:00,Country_01,Local_04,Mining,,,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",,,,,['Others'],[],[],[],[],[],IV,IV,,,,Male,Third Party,approximately at 1150 am in circumstances that the messrs of the truck crane and william de la cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 kg mr william de the cross rigger climbs onto the truck to remove the sling places both feet under the stretcher that supported the metal plates at that moment the central part of the stretcher is broken as a result of which the two feet are imprisoned producing the injury,DUP_0019,1,False,4
