report_id,source,report_type,timestamp,site,location,department,activity,asset,description,unsafe_act,unsafe_condition,near_miss,hi_po,hazards,exposure,potential_consequences,barriers,barrier_status,life_saving_rules,actual_outcome,potential_accident_level,sif_potential,annotation_confidence,annotation_version,source_gender,source_actor_type,normalized_description,duplicate_group_id,duplicate_group_size,is_duplicate,potential_level_numeric,potential_numeric,actual_numeric,description_length,risk,selection_band,annotation_status,sif_reason,evidence_text,hazard_notes,consequence_notes,barrier_notes,annotator_confidence
industrial_safety_000091,industrial_safety_analytics_database,incident,2016-03-24T00:00:00,Country_03,Local_10,Others,,,"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities.",,,,,['Poll'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party,when performing the sleeve removal maneuver when the hole was 600 meters deep general da silva pressed only one side of the locking nut of the rods which together with the jack holds the entire weight of the rods in the maneuver as the locking procedure was not effective the weight of the rods was only secured by the steel wire rope of the probe winch at the moment that driller pedro released the brake of the winch the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey caused the sliding of the rods auxiliary was prepared for manual unlocking of the rods holding the faucet key firmly against the probe tower as the composition shifted as the stems slid his hands were shifted downward causing his left hand to strike against the base of the probe tower structure causing cuts to the 4th and 5th quirodactyl employee was taken to the hospital where he went through medical care wound was sutured with 16 stitches same was removed for 10 days from his activities,DUP_0392,1,False,4,4,4,1029,['Poll'],medium_high,pending,,,,,,
industrial_safety_000106,industrial_safety_analytics_database,incident,2016-04-17T00:00:00,Country_02,Local_05,Metals,,,"Employee reports that when attempting to manually ingot of Zinco, on the rotary table of the L1 ingot, hit with the left hand against the angle in the structure of the ingot, by pressing the finger between the ingot and the angle.",,,,,['Cut'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,employee reports that when attempting to manually ingot of zinco on the rotary table of the l1 ingot hit with the left hand against the angle in the structure of the ingot by pressing the finger between the ingot and the angle,DUP_0176,1,False,4,4,1,230,['Cut'],medium_high,pending,,,,,,
industrial_safety_000137,industrial_safety_analytics_database,incident,2016-05-24T00:00:00,Country_03,Local_10,Others,,,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care.",,,,,['Fall'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party,during field trip to return to work after lunch the employee of the wellfield company slipped on the loose stones that were in the place at that moment with the intention of balancing he tried hold onto a tree falling under the right arm causing fracture at the distal end of the radius the activity was paralyzed and the employee was referred to the hospital in paracatu where he underwent medical care,DUP_0110,1,False,4,4,4,411,['Fall'],medium_high,pending,,,,,,
industrial_safety_000183,industrial_safety_analytics_database,incident,2016-07-09T00:00:00,Country_03,Local_10,Others,,,"During execution of drilling on the target - Bolt BRJCLDD0006, made by the company SERVITECFORACO - probe 25, at 09:45 on July 9, 2016, the official Josimar da Silva, in the moment of the maneuver to fish material, when removing the feeder of water, during movement of the winch realized that the safety chain was loose and could curl in the rod. In performing the chain removal movement, he placed his left hand between the hose and the cap of the hydraulic plate. With the unlocking of the inner tube there was an abrupt movement of the chain, pushing his hand towards the hydraulic plate, causing an injury to the ring finger of this hand. The lesion caused a cut in the 4th Quirodactyl, with a need for suture of 3 points to close the cut.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Male,Third Party,during execution of drilling on the target  bolt brjcldd0006 made by the company servitecforaco  probe 25 at 0945 on july 9 2016 the official josimar da silva in the moment of the maneuver to fish material when removing the feeder of water during movement of the winch realized that the safety chain was loose and could curl in the rod in performing the chain removal movement he placed his left hand between the hose and the cap of the hydraulic plate with the unlocking of the inner tube there was an abrupt movement of the chain pushing his hand towards the hydraulic plate causing an injury to the ring finger of this hand the lesion caused a cut in the 4th quirodactyl with a need for suture of 3 points to close the cut,DUP_0109,1,False,4,4,3,743,['Others'],medium_high,pending,,,,,,
industrial_safety_000202,industrial_safety_analytics_database,incident,2016-08-11T00:00:00,Country_02,Local_12,Others,,,"On leaving the Company the employee stumbled onto the exit ladder of the building and fell 3 steps, causing twisting of the ankle and grating on the cinnamon",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Female,Employee,on leaving the company the employee stumbled onto the exit ladder of the building and fell 3 steps causing twisting of the ankle and grating on the cinnamon,DUP_0270,1,False,4,4,1,157,['Others'],medium_high,pending,,,,,,
industrial_safety_000226,industrial_safety_analytics_database,incident,2016-09-12T00:00:00,Country_01,Local_11,Others,,,"In the city of Conchucos, of Ancash, participating in a patronal feast, representing the company, was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event, the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Female,Employee,in the city of conchucos of ancash participating in a patronal feast representing the company was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs,DUP_0239,1,False,4,4,3,403,['Others'],medium_high,pending,,,,,,
industrial_safety_000230,industrial_safety_analytics_database,incident,2016-09-16T00:00:00,Country_02,Local_05,Metals,,,"Employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the Ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm.",,,,,['Pressurized Systems'],[],[],[],[],[],II,IV,,,v0.1,Male,Employee,employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the ustulation area through the side window when he was struck by projection of heated air that reached his face and right forearm,DUP_0173,1,False,4,4,2,247,['Pressurized Systems'],medium_high,pending,,,,,,
industrial_safety_000305,industrial_safety_analytics_database,incident,2017-01-08T00:00:00,Country_02,Local_05,Metals,,,"Employee performed withdrawal of electrical failure in the engine control drawer of the TQ 14 A, after the check and exchange of fuses, it closed the door of the drawer and energized the drawer, at this moment an arc was opened, reaching the face and part of the employee's forearm, causing minor burns.",,,,,['Projection/Burning'],[],[],[],[],[],II,IV,,,v0.1,Male,Employee,employee performed withdrawal of electrical failure in the engine control drawer of the tq 14 a after the check and exchange of fuses it closed the door of the drawer and energized the drawer at this moment an arc was opened reaching the face and part of the employees forearm causing minor burns,DUP_0168,1,False,4,4,2,303,['Projection/Burning'],medium_high,pending,,,,,,
industrial_safety_000308,industrial_safety_analytics_database,incident,2017-01-10T00:00:00,Country_03,Local_10,Others,,,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering.",,,,,['Fall prevention'],[],[],[],[],[],I,IV,,,v0.1,Male,Third Party,the auxiliary of general services i paulo e silva with 5 months and 10 days of work was performing the activity of soil collection during the movement of equipment to the next point holding a lever it encountered a piece of sloping ground and with interlaced vegetation which caused the fall of the to the left the same side where the tool was held the rapid fall prevented the employee from leaning causing a shock of the elbow with the ground the employee continued the activity for another 3 points of sample collection until he felt the arm bothering,DUP_0287,1,False,4,4,1,566,['Fall prevention'],medium_high,pending,,,,,,
industrial_safety_000340,industrial_safety_analytics_database,incident,2017-02-13T00:00:00,Country_02,Local_05,Metals,,,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 ruptured after it started to operate, designing solution heated towards the employee, reaching his left forearm causing irritation in the skin.",,,,,['Projection'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,during the maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the reserve pump 02bp0167 ruptured after it started to operate designing solution heated towards the employee reaching his left forearm causing irritation in the skin,DUP_0137,1,False,4,4,1,276,['Projection'],medium_high,pending,,,,,,
industrial_safety_000341,industrial_safety_analytics_database,incident,2017-02-13T00:00:00,Country_02,Local_05,Metals,,,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 was disrupted, after it started to operate, designing solution heated towards the employee, reaching his left forearm, causing a burn .",,,,,['Burn'],[],[],[],[],[],III,IV,,,v0.1,Male,Employee,during the maintenance of the peristaltic pump 02bp0166 to change the internal hose the rupture tubing of the reserve pump 02bp0167 was disrupted after it started to operate designing solution heated towards the employee reaching his left forearm causing a burn,DUP_0138,1,False,4,4,3,268,['Burn'],medium_high,pending,,,,,,
industrial_safety_000350,industrial_safety_analytics_database,incident,2017-02-25T00:00:00,Country_01,Local_01,Mining,,,"During the mining cycle at the Chimney 410; before starting with the drilling work to anchor the lane of the alimak system, the collaborator squat to pick up a manual tool that is on the platform; it is at this moment that the jackleg team loses its position and projects towards the back of the collaborator generating the injury.",,,,,['Fall'],[],[],[],[],[],IV,IV,,,v0.1,Male,Third Party (Remote),during the mining cycle at the chimney 410 before starting with the drilling work to anchor the lane of the alimak system the collaborator squat to pick up a manual tool that is on the platform it is at this moment that the jackleg team loses its position and projects towards the back of the collaborator generating the injury,DUP_0143,1,False,4,4,4,331,['Fall'],medium_high,pending,,,,,,
industrial_safety_000390,industrial_safety_analytics_database,incident,2017-04-19T00:00:00,Country_03,Local_10,Others,,,"On 04/19/2017, the employee de Lima da Silva was composing the team of opening of bite to survey of IP. The team consisted of one mining technician and three assistants. When was moving in the bite he touched his left foot on a stump of Tucum that was on the ground covered with dry leaves of vegetation near drainage. When he felt the thorn piercing on his foot, he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot. After removal of the spine the foot was washed and it was verified that there was no other injury. After the event the technician waxed the activity and returned to the city of Porangatu / GO. It was not necessary to take the employee to the health unit.",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Male,Third Party,on 04192017 the employee de lima da silva was composing the team of opening of bite to survey of ip the team consisted of one mining technician and three assistants when was moving in the bite he touched his left foot on a stump of tucum that was on the ground covered with dry leaves of vegetation near drainage when he felt the thorn piercing on his foot he told the mining technician what had happened and the teammate removed the thorn that pierced the top of the boot after removal of the spine the foot was washed and it was verified that there was no other injury after the event the technician waxed the activity and returned to the city of porangatu  go it was not necessary to take the employee to the health unit,DUP_0266,1,False,4,4,1,735,['Others'],medium_high,pending,,,,,,
industrial_safety_000430,industrial_safety_analytics_database,incident,2017-06-19T00:00:00,Country_03,Local_10,Others,,,"During the execution of the task of assembling the box of testimony boxes, in the area of ​​Bonsucesso, around 10:40 am Orlando research driller - GEOSOL, trying to fit two parts of the trestles, a third piece fell on his hand, which was on the piece he held, causing a small trauma to his left thumb. The employee was referred to São Lucas hospital - Paracatu LTDA and attended and released without leaving work soon after.",,,,,['Others'],[],[],[],[],[],III,IV,,,v0.1,Male,Third Party,during the execution of the task of assembling the box of testimony boxes in the area of bonsucesso around 1040 am orlando research driller  geosol trying to fit two parts of the trestles a third piece fell on his hand which was on the piece he held causing a small trauma to his left thumb the employee was referred to são lucas hospital  paracatu ltda and attended and released without leaving work soon after,DUP_0132,1,False,4,4,3,424,['Others'],medium_high,pending,,,,,,
industrial_safety_000431,industrial_safety_analytics_database,incident,2017-06-22T00:00:00,Country_03,Local_10,Others,,,"The technician was returning from his activities on the bite, when he stepped on a loose rock over a sloping region. She released herself unbalancing the employee who stepped on false, twisting her ankle.",,,,,['Others'],[],[],[],[],[],I,IV,,,v0.1,Male,Employee,the technician was returning from his activities on the bite when he stepped on a loose rock over a sloping region she released herself unbalancing the employee who stepped on false twisting her ankle,DUP_0354,1,False,4,4,1,204,['Others'],medium_high,pending,,,,,,
industrial_safety_000005,industrial_safety_analytics_database,incident,2016-01-12T00:00:00,Country_02,Local_05,Metals,,,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party (Remote),during the unloading operation of the ustulado bag there was a need to unclog the discharge mouth of the silo truck in performing this procedure there was a maneuver of unhooking the hose without the total depressurisation of the mouth projecting ustulado powder in the collaborator caused irritation in the eyes,DUP_0159,1,False,3,3,1,316,['Pressurized Systems'],medium,pending,,,,,,
industrial_safety_000006,industrial_safety_analytics_database,incident,2016-01-16T00:00:00,Country_02,Local_05,Metals,,,"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,the collaborator reports that he was on street 09 holding in his left hand the volumetric balloon when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand,DUP_0293,1,False,3,3,1,234,['Fall prevention (same level)'],medium,pending,,,,,,
industrial_safety_000014,industrial_safety_analytics_database,incident,2016-02-04T00:00:00,Country_02,Local_05,Metals,,,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",,,,,['Confined space'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,due to the accumulation of waelz on the conveyor and trailer of the filter 08fi0502 the employee performed the cleaning of the shutter using the air lance when he was surprised by the fall of the product that was above the door passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder,DUP_0107,1,False,3,3,1,334,['Confined space'],medium,pending,,,,,,
industrial_safety_000056,industrial_safety_analytics_database,incident,2016-03-02T00:00:00,Country_01,Local_06,Metals,,,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the start of the neutral leaching process the employee jhonatan proceeds to open the air valve of the tank airlift a circumstance in which the process solution returns through the chimney the solution coming into contact with the arm and right foot,DUP_0154,1,False,3,3,1,258,['Blocking and isolation of energies'],medium,pending,,,,,,
industrial_safety_000101,industrial_safety_analytics_database,incident,2016-04-14T00:00:00,Country_02,Local_08,Metals,,,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal .",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the cleaning of the 16 vertical pipe using the hydrojet equipment high pressure hose the hose returned due to obstruction of the pipe with residue reaching the operator who was actuating the equipment pedal,DUP_0123,1,False,3,3,1,220,['Pressurized Systems'],medium,pending,,,,,,
industrial_safety_000134,industrial_safety_analytics_database,incident,2016-05-22T00:00:00,Country_02,Local_08,Metals,,,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",,,,,['Blocking and isolation of energies'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,during the maintenance on the lxp205b pump there was the projection of silicate pulp reaching the right leg of the employee,DUP_0139,1,False,3,3,1,128,['Blocking and isolation of energies'],medium,pending,,,,,,
industrial_safety_000189,industrial_safety_analytics_database,incident,2016-07-18T00:00:00,Country_01,Local_06,Metals,,,"At 21:15 hours on 07/18/2016, the collaborator Warrin (welder), when trying to inspect a cracking point in the INLET of the G2143 laminator, slips and falls to the same level hitting his face and hand , he was immediately transferred to the medical service for evaluation.",,,,,['Fall prevention (same level)'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party,at 2115 hours on 07182016 the collaborator warrin welder when trying to inspect a cracking point in the inlet of the g2143 laminator slips and falls to the same level hitting his face and hand  he was immediately transferred to the medical service for evaluation,DUP_0031,1,False,3,3,1,272,['Fall prevention (same level)'],medium,pending,,,,,,
industrial_safety_000205,industrial_safety_analytics_database,incident,2016-08-14T00:00:00,Country_02,Local_08,Metals,,,"The employee Mr. Nilton made the opening of the visit to unclog, at this moment occurred projection of hot material, occurring the accident.",,,,,['Projection'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,the employee mr nilton made the opening of the visit to unclog at this moment occurred projection of hot material occurring the accident,DUP_0298,1,False,3,3,1,140,['Projection'],medium,pending,,,,,,
industrial_safety_000246,industrial_safety_analytics_database,incident,2016-10-04T00:00:00,Country_03,Local_10,Others,,,"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",,,,,['Others'],[],[],[],[],[],III,III,,,v0.1,Male,Employee,in the probe 5068 bore bapdd00146 around 1500 hours the polling assistant luciano da silva performing the maneuver of descending rods led the rod to the gutter but this when not leaning suitably came to escape the gutter returning toward the easel his hand had slipped and his little finger was between the rod and the easel realizing that the shaft had returned he released it immediately but his little finger was partially hit by the rim of the rod against the easel resulting in a cut the auxiliary was taken to hospital and attended to the wound resulted in 5 points and the was released for administrative activities,DUP_0244,1,False,3,3,3,635,['Others'],medium,pending,,,,,,
industrial_safety_000255,industrial_safety_analytics_database,incident,2016-10-20T00:00:00,Country_02,Local_05,Metals,,,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",,,,,['Pressurized Systems'],[],[],[],[],[],I,III,,,v0.1,Male,Employee,as the employee cleaned the thermal recovery boiler using an air boom the hose loosened from the pipe connection drawing a jet of compressed air toward his right ear causing impact noise,DUP_0020,1,False,3,3,1,190,['Pressurized Systems'],medium,pending,,,,,,
industrial_safety_000319,industrial_safety_analytics_database,incident,2017-01-24T00:00:00,Country_02,Local_05,Metals,,,"Employee was transiting the GRS area when he came to slip, suffering a twist in his left knee.",,,,,['Fall'],[],[],[],[],[],I,III,,,v0.1,Male,Third Party (Remote),employee was transiting the grs area when he came to slip suffering a twist in his left knee,DUP_0189,1,False,3,3,1,94,['Fall'],medium,pending,,,,,,
