report_id,category,description,human_note,extracted,extracted_evidence,audit_hint
industrial_safety_000272,hazards,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",Sharp edge / low-energy cutting or puncture hazard.,,,MISSED_CATEGORY
industrial_safety_000289,hazards,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",Same-level fall / walking-surface hazard.,,,MISSED_CATEGORY
industrial_safety_000298,hazards,"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.",Mechanical pinch/crush hazard with localized low-energy exposure.,,,MISSED_CATEGORY
industrial_safety_000346,hazards,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury.","Mechanical (friction/abrasion) — secondary to a chemical hazard (paint) that was mishandled; the injury-causing mechanism is friction from dry cloth on skin, not the chemical itself",,,MISSED_CATEGORY
industrial_safety_000374,hazards,"The technician was doing the magnetometric survey when he stepped on a thorn. His reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.",Sharp thorn / low-energy puncture hazard and same-level loss of balance.,,,MISSED_CATEGORY
industrial_safety_000401,hazards,"The employees Márcio and Sérgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries.","Stored pressure/process energy in the pump piping, with uncontrolled release of pulp.",,,MISSED_CATEGORY
industrial_safety_000034,exposures,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,The employee's right thumb was exposed to the flange during the pipe-clearing activity.,,,MISSED_CATEGORY
industrial_safety_000076,exposures,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",Employee was exposed while walking/working on the platform.,,,MISSED_CATEGORY
industrial_safety_000103,exposures,"Being 2:40 am. Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level; in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",Worker was exposed to a fall while positioned on a moving/unstable ladder at the crown.,,,MISSED_CATEGORY
industrial_safety_000112,exposures,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,"Direct hand/finger contact with broken glass while cleaning by touch/feel inside a sink, without visual awareness of the hazard (glass fragment hidden from view)",,,MISSED_CATEGORY
industrial_safety_000115,exposures,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",Direct hand exposure to the machine/load during manual alignment.,,,MISSED_CATEGORY
industrial_safety_000135,exposures,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",Worker was exposed to a same-level fall after becoming dizzy and faint.,,,MISSED_CATEGORY
industrial_safety_000140,exposures,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",Worker directly exposed to energized plug/socket and power cord while checking voltage.,,,MISSED_CATEGORY
industrial_safety_000145,exposures,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand","direct hand contact with glass labware during a manual washing task; the glassware broke while in-hand or in-contact, exposing the finger to the fractured edge",,,MISSED_CATEGORY
industrial_safety_000166,exposures,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",Three employees were inside the room near the equipment when the rupture/release occurred and were directly reached by hot pulp.,,,MISSED_CATEGORY
industrial_safety_000210,exposures,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",Direct hand contact with a damaged plate while handling a stack of dishware during routine cleaning/kitchen duties; the sharp edge was not visually obvious within the stacked set,,,MISSED_CATEGORY
industrial_safety_000222,exposures,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,The operator was walking through an area containing leucena foliage while conducting the inspection.,,,MISSED_CATEGORY
industrial_safety_000239,exposures,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.","Worker (Marco) in direct physical proximity to and manually handling the pipe at the moment it moved/settled; positioned such that the pipe's impact trajectory intersected his body, specifically striking the safety guard he was wearing/using",,,MISSED_CATEGORY
industrial_safety_000259,exposures,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",Operator's foot/leg in contact with the equipment's rim while climbing to access the front headlight for inspection; direct exposure to a fall when the foothold slipped,,,MISSED_CATEGORY
industrial_safety_000272,exposures,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",Direct thumb contact with the sharp corner while handling the aluminum container.,,,MISSED_CATEGORY
industrial_safety_000289,exposures,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",The worker was walking through the electrolysis area and stumbled near the bathroom.,,,MISSED_CATEGORY
industrial_safety_000297,exposures,"At 13:40 hours, Mr. Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",Worker was directly exposed to a fall while standing on an unstable reel at approximately 3 m elevation.,,,MISSED_CATEGORY
industrial_safety_000298,exposures,"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.",Right fifth finger directly exposed to the pinch point between the protection grid and light support.,,,MISSED_CATEGORY
industrial_safety_000314,exposures,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",Worker was directly exposed to a fall while working approximately 2.5 m above ground on a ladder.,,,MISSED_CATEGORY
industrial_safety_000323,exposures,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",Operator's foot/hand in contact with the vehicle's access rung while dismounting the cab; direct exposure to a fall and subsequent contact with the vehicle's fender and rung structure,,,MISSED_CATEGORY
industrial_safety_000364,exposures,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.",Two vehicle occupants (pilot/driver and copilot) present in the cabin during an uncontrolled collision and subsequent vehicle turn/rotation; copilot's hand exposed to broken glass generated by the impact,,,MISSED_CATEGORY
industrial_safety_000374,exposures,"The technician was doing the magnetometric survey when he stepped on a thorn. His reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.",Technician's foot was directly exposed to the thorn while performing the survey.,,,MISSED_CATEGORY
industrial_safety_000384,exposures,"In the tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.",Two employees were inside the fenced area near the electrical infrastructure when the suspected discharge occurred.,,,MISSED_CATEGORY
industrial_safety_000385,exposures,"In tower N ° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers.",Two workers were inside the fenced work area near the old electrical infrastructure during the suspected discharge.,,,MISSED_CATEGORY
industrial_safety_000389,exposures,"In moments that Mr. William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr. William goes back to leave work, but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable.",Worker was directly exposed to unstable ground and falling-rock hazards while inspecting the pit.,,,MISSED_CATEGORY
industrial_safety_000403,exposures,"When performing shotcrete casting for resane on Cruise 791 Nv. 1940 at 02:50 p.m. approximately, the operator was placed on the left side of the equipment and started the release of 02 cubic meters, at that time decided to paralyze the task for a few minutes due to a leak of water in the roof box that did not allow the adhesion of the shotcrete to the rock (setting). When restarting the shotcrete launch the operator that was on the left side moved to the right side of the equipment, while the assistant and the operator mixkret to see that there was no pumping went to verify what happened and when they returned they realized that the operator was not, so they assume that he had fallen down the chimney, they left the job to ask for help immediately. The emergency response brigade and the medical service are activated, who verify the death of the collaborator. The accident investigation begins.",The operator was working and moving adjacent to the chimney/vertical opening during the shotcrete activity.,,,MISSED_CATEGORY
industrial_safety_000420,exposures,"In circumstances that the driver of the plate truck W5K-915 of the E.E. IMPROMEC, went from the garit plant chicrin to Nv.3420, after entering an internal mine in the area of ​​Santa where 200 m. approx. from the old dining room, stops the vehicle and informs the co-pilot that he can no longer drive, for which he turns off the vehicle and when trying to get off the van loses his balance and falls on his own seat, complaining intense pain in the lumbar area, citing pain due to overexertion due to routine activity (evacuation of residual oil and solid waste cylinders) that they previously performed. The collaborator at the time of the event used their corresponding EPPS.","Cumulative physical exertion from manual handling of residual oil and solid waste cylinders during routine duties, followed by a minor balance loss while attempting to exit the vehicle cab",,,MISSED_CATEGORY
industrial_safety_000426,exposures,"In circumstance, the AHK-903 license plate (Empresa which serves the supervision of CMA, carried out the field inspections in the upper bank 4288, when unexpectedly when climbing through the operational access (positive ramp), It slides in an excavated area of ​​approximately 3 meters high, remaining in position with the front part on the floor. The occupants of the vehicle made use of the safety belt and all the complete epps.","Vehicle occupant(s) inside the cabin throughout the loss-of-control event, the slide, and the impact/settling at the bottom of the excavation; direct exposure to deceleration forces, potential cabin intrusion, and the vehicle's final unstable resting position (front-down)",,,MISSED_CATEGORY
industrial_safety_000013,consequences,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.","Fatality or life-altering injury, including severe thermal burns, electric shock/electrocution, cardiac arrest, or secondary injuries.",,,MISSED_CATEGORY
industrial_safety_000074,consequences,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.","Minor to moderate hand injury, such as puncture wounds, lacerations, or localized tissue damage. A SIF-level consequence is not reasonably evident from the narrative.",,,MISSED_CATEGORY
industrial_safety_000076,consequences,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.","Sprain, strain, or other minor-to-moderate musculoskeletal injury.",,,MISSED_CATEGORY
industrial_safety_000082,consequences,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described.","Minor to moderate injury, such as a sprain, strain, or fracture. A SIF-level consequence is not reasonably evident from the narrative.",,,MISSED_CATEGORY
industrial_safety_000095,consequences,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.","Serious impact injury, fracture, crush injury, or potentially more severe injury from scaffold collapse.",,,MISSED_CATEGORY
industrial_safety_000100,consequences,"When positioning the scissor bolter N ° 09 in the East of stope 175 (40 meters from the top), the operator and his assistant verify that the ventilation sleeve will obstruct the support of the left gable, so they decide to section the sleeve and direct it towards the main corridor; the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.","Severe head or spinal injury, fractures, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000103,consequences,"Being 2:40 am. Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level; in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.","Severe head or spinal injury, fractures, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000112,consequences,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,"Under a worse-case variation (larger/deeper glass shard, damage to tendons, nerves, or blood vessels in the hand, or subsequent infection), this could escalate to a more serious hand injury; however, life-threatening or permanently disabling outcomes are unlikely from this specific mechanism",,,MISSED_CATEGORY
industrial_safety_000115,consequences,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.","Severe crush injury, fracture, amputation, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000119,consequences,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,"Fatality or life-altering injury, including severe chemical burns, permanent blindness, respiratory injury, or systemic effects from significant exposure.",,,MISSED_CATEGORY
industrial_safety_000135,consequences,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",Minor head injury or concussion; more severe injury is not reasonably indicated by the described mechanism.,,,MISSED_CATEGORY
industrial_safety_000136,consequences,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.","Under a worse-case variation of this same event (higher speed, full loss of control leading to rollover or the tanker striking the gable more directly/head-on, structural cabin intrusion, or fuel tank rupture/fire), this could plausibly result in severe crush injuries, burns, or fatality for either occupant — a hazard category with an inherently high severity ceiling given the vehicle type (fuel tanker) and setting (confined underground ramp)",,,MISSED_CATEGORY
industrial_safety_000166,consequences,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.","Fatality or life-altering injury, particularly severe thermal burns/scalding, potentially accompanied by impact injuries from the sudden process release.",,,MISSED_CATEGORY
industrial_safety_000169,consequences,"The operator of the Scissor 187 leaves his equipment parked at level -2995 Acc 7 due to electrical problems, when the maintenance personnel arrives, the electrician climbs on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem; then in coordination with the mechanic decide to perform the test with the diesel system, moments in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand's atricion against the support of the pivot tube generating the lesion described. At the time of the accident the electrician was alone on the control platform, while the mechanic was at ground level observing the pressure on the diesel system pressure gauge.","Severe crush injury, fractures, amputation, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000190,consequences,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face.","Under a worse-case variation (higher ammonia concentration, larger splash volume, direct eye contact, or prolonged inhalation), this could result in permanent eye injury/blindness, severe chemical burns to the face, or respiratory tract damage — clearly meeting SIF severity criteria",,,MISSED_CATEGORY
industrial_safety_000198,consequences,"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.","Minor injury, such as localized pain, swelling, or irritation. A severe allergic reaction is theoretically possible, but it is not supported by the reported event.",,,MISSED_CATEGORY
industrial_safety_000210,consequences,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.","Under a worse-case variation (deeper laceration, damage to tendon/nerve/blood vessel in the finger), this could result in a more serious hand injury requiring surgical repair; however, life-threatening or permanently disabling outcomes are not a realistic pathway from this specific low-energy mechanism",,,MISSED_CATEGORY
industrial_safety_000219,consequences,"On the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",Localized cut/laceration or finger injury.,,,MISSED_CATEGORY
industrial_safety_000222,consequences,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,"Minor to moderate injury, such as bruises, sprains, or fractures. Based on the narrative, a SIF-level consequence is not reasonably evident.",,,MISSED_CATEGORY
industrial_safety_000236,consequences,In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator's door. At the time of the event the injured person used all his EPP's.,"Minor to moderate impact injury, such as bruising or musculoskeletal injury.",,,MISSED_CATEGORY
industrial_safety_000239,consequences,"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.","Had the safety guard not been in place, in the correct position, or adequate for the impact force, this could have resulted in serious head, face, or facial fracture injury, eye injury, or other significant trauma from being struck by the pipe — this is a scenario where the absence or failure of the existing barrier would plausibly escalate the outcome to SIF-level severity",,,MISSED_CATEGORY
industrial_safety_000259,consequences,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm","Under this specific low fall height, the realistic outcome range includes sprains, strains, bruising, or at most a minor fracture from an awkward landing; a genuinely severe or fatal outcome is not a plausible escalation from this height alone unless a secondary hazard were present (e.g., falling onto exposed machinery parts, into a pinch point, or striking the head on a hard/sharp surface) — none of which is indicated in the narrative",,,MISSED_CATEGORY
industrial_safety_000264,consequences,"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.","Fatality or life-altering injury, including severe facial/airway burns, thermal injury, or smoke/hot-gas inhalation.",,,MISSED_CATEGORY
industrial_safety_000272,consequences,"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.","Localized cut, puncture, or minor hand injury.",,,MISSED_CATEGORY
industrial_safety_000284,consequences,"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.","Fatality or life-altering injury, including penetrating trauma, severe laceration, eye injury, or potentially fatal injury if a metal fragment were projected toward a vital body area.",,,MISSED_CATEGORY
industrial_safety_000289,consequences,"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.","Minor to moderate injury, such as bruises, sprains, or fractures. Based on the information provided, SIF-level injury is not reasonably evident.",,,MISSED_CATEGORY
industrial_safety_000297,consequences,"At 13:40 hours, Mr. Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.","Severe head injury, spinal injury, fractures, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000298,consequences,"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.","Finger bruise, laceration, sprain, or localized crush injury.",,,MISSED_CATEGORY
industrial_safety_000314,consequences,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.","Severe head injury, spinal injury, fractures, permanent disability, or fatality.",,,MISSED_CATEGORY
industrial_safety_000321,consequences,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.","Fatality or life-altering injury from crushing, traumatic amputation, severe fractures, or a larger rockfall striking/engulfing the worker; a fall from the elevated basket could also result in serious injury.",,,MISSED_CATEGORY
industrial_safety_000323,consequences,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.","Under this specific low fall height and impact point (forearm striking fender/rung), the realistic outcome range includes bruising, contusion, or a possible fracture of the forearm; a genuinely severe or fatal outcome is not a plausible escalation from this height and impact location alone, absent an unsupported assumption of head strike or fall onto a hazardous secondary surface",,,MISSED_CATEGORY
industrial_safety_000337,consequences,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury.","Fatality or life-altering injury, including severe laceration, crushing, traumatic amputation, or entanglement.",,,MISSED_CATEGORY
industrial_safety_000342,consequences,"In the Nv. 3370, CX 212 - South, when the Mechanic loosens a through bolt of the intermediate cardan protector of the Dumper 01, the protector is released and imprisons the first finger of the left hand against the connector of the hydraulic steering cylinder (Position 2) .","Fatality or life-altering injury is possible, particularly severe crushing, fracture, loss of tissue, or traumatic amputation of the finger/hand.",,,MISSED_CATEGORY
industrial_safety_000346,consequences,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury.",": Localized skin abrasion, irritation, or redness from friction; if paint contained irritating/toxic solvents and contact had involved the eyes or mucous membranes instead of general facial skin, the potential consequence could have been more serious (chemical eye injury) — but as described, the realistic escalation potential remains low to moderate, not SIF-level",,,MISSED_CATEGORY
industrial_safety_000364,consequences,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle.","Under a worse-case variation of this same event (higher speed, full rollover, ejection from vehicle, collision involving pedestrians/other equipment in the roadway, or greater structural intrusion into the cabin), this could result in serious crush injuries, head/spinal trauma, or fatality for either occupant — this is a hazard category with an inherently high severity ceiling, distinct from the low-energy chemical/cut cases reviewed previously",,,MISSED_CATEGORY
industrial_safety_000370,consequences,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs.","Severe chemical burns, serious eye injury, respiratory injury, permanent impairment, or potentially fatal exposure.",,,MISSED_CATEGORY
