report_id,hazards,hazard_evidence,exposures,exposure_evidence,consequences,consequence_evidence,barriers,barrier_evidence,activities,activity_evidence,hazard_count,exposure_count,consequence_count,barrier_count,activity_count,has_fatality_evidence,has_caught_between_evidence,has_direct_exposure_evidence,has_severe_consequence_signal,has_high_energy_signal,has_barrier_failure_signal,sif_precursor_signal_score
industrial_safety_000373,Fall-from-height energy,height,Fall exposure; Direct worker exposure,"height of the 3630 (Before 440), the operator; operator jumps out of the cabin and at 20 meters the team hit",,,,,,,1,2,0,0,0,False,False,True,False,True,False,0.55
industrial_safety_000374,,,,,,,,,,,0,0,0,0,0,False,False,False,False,False,False,0.0
industrial_safety_000382,Thermal energy,burning,Line-of-fire exposure; Direct worker exposure,projected; employee to perform pain,,,,,Cleaning; Painting / coating,cleaning; painting,1,2,0,0,2,False,False,True,False,True,False,0.55
industrial_safety_000383,Biological / animal exposure,wasp,Direct worker exposure,employee reported that he did not feel any pain,Cut / laceration; Minor injury / irritation,wound; swelling,,,,,1,1,2,0,0,False,False,True,False,False,False,0.25
industrial_safety_000384,Electrical energy; Fall-from-height energy,energized; electrical; ladder,,,Cut / laceration,cut,Guard / physical protection [present]; De-energization [present]; Supervision [present],guard; de-energized; supervisor,Working at height,ladder,3,0,1,3,1,False,False,False,False,True,False,0.3
industrial_safety_000385,Electrical energy,energized; 45 a; electrical,,,Cut / laceration,cutting,Guard / physical protection [present]; De-energization [present]; Supervision [present],guard; de-energized; supervisor,Drilling / cutting,cutting,3,0,1,3,1,False,False,False,False,True,False,0.3
industrial_safety_000389,Fall-from-height energy,platform,,,Cut / laceration,cut,PPE [present],boots,Inspection,inspection,1,0,1,1,1,False,False,False,False,True,False,0.3
industrial_safety_000393,Falling-object / dropped-object energy; Fall-from-height energy,rock block; roof,Direct worker exposure; Line-of-fire exposure,operator performed front sanitation when a rock block from the roof hit; hit,Struck-by injury,hit,,,Working at height,roof,2,2,1,0,1,False,False,True,False,True,False,0.55
industrial_safety_000401,,,Line-of-fire exposure,projection,,,,,,,0,1,0,0,0,False,False,True,False,False,False,0.25
industrial_safety_000403,Fall-from-height energy,roof,,,Fatality,death,,,Adjustment / tightening; Maintenance / repair; Working at height,setting; service; roof,1,0,1,0,3,True,False,False,True,True,False,0.55
industrial_safety_000410,Mechanical / moving equipment energy; Fall-from-height energy,conveyor; belt; pulley; height,Line-of-fire exposure,projected,,,,,Inspection,inspection,4,1,0,0,1,False,False,True,False,True,False,0.55
industrial_safety_000420,Vehicle / mobile equipment energy,truck; vehicle,,,Fall injury,"falls on his own seat, complaining intense pain in the lumbar area, citing pain",,,,,2,0,1,0,0,False,False,False,False,True,False,0.3
industrial_safety_000422,Pressure / stored pressure; Fire / explosion energy; Vehicle / mobile equipment energy,hydraulic; fire; car,Direct worker exposure; Line-of-fire exposure,operator generating the described injury; line of fire,,,,,,,3,2,0,0,0,False,False,True,False,True,False,0.55
industrial_safety_000426,Mechanical / moving equipment energy; Vehicle / mobile equipment energy,belt; vehicle,,,,,Supervision [present],supervision,,,2,0,0,1,0,False,False,False,False,True,False,0.3
