report_id,sif_precursor_band,sif_precursor_score,primary_trigger,reason_codes,lsr_candidates,lsr_scores,barriers_present,barriers_failed
industrial_safety_000103,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Line of Fire; Seat Belt,Work at Height:0.980; Line of Fire:0.350; Seat Belt:0.350,,
industrial_safety_000108,MEDIUM,0.65,Potential severe projectile injury,high-energy hazard; credible severe potential pathway; barrier gap/failure signal,Line of Fire; Safe Mechanical Lifting,Line of Fire:0.350; Safe Mechanical Lifting:0.350,,Structural / ground control
industrial_safety_000112,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Line of Fire; Safe Mechanical Lifting,Line of Fire:0.700; Safe Mechanical Lifting:0.350,,
industrial_safety_000115,LOW,0.25,Potential severe entanglement / machine injury,credible severe potential pathway,,,,
industrial_safety_000119,HIGH,0.7,Potential severe chemical injury,high-energy hazard; human exposure signal; credible severe potential pathway,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.430,,
industrial_safety_000135,LOW,0.2,Fall injury,human exposure signal,Work at Height,Work at Height:0.350,,
industrial_safety_000136,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Line of Fire; Driving; Seat Belt,Line of Fire:1.000; Driving:0.550; Seat Belt:0.430,PPE,
industrial_safety_000140,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Isolation,Isolation:0.350,,
industrial_safety_000145,LOW,0.0,Cut / laceration,low-energy-only observed event,,,,
industrial_safety_000166,LOW,0.0,No strong SIF precursor signal,,,,,
industrial_safety_000169,HIGH,0.85,Potential severe caught-between injury,high-energy hazard; severe/critical actual consequence; credible severe potential pathway,Isolation; Work at Height; Line of Fire,Isolation:1.000; Work at Height:0.350; Line of Fire:0.350,,
industrial_safety_000187,LOW,0.2,Burn / thermal injury,human exposure signal,Line of Fire,Line of Fire:0.350,,
industrial_safety_000190,MEDIUM,0.45,Potential severe chemical injury,human exposure signal; credible severe potential pathway,Line of Fire,Line of Fire:0.430,,
industrial_safety_000197,LOW,0.0,Cut / laceration,human exposure signal; low-energy-only observed event,Line of Fire,Line of Fire:0.350,,
industrial_safety_000198,LOW,0.2,No strong SIF precursor signal,human exposure signal,Line of Fire,Line of Fire:0.430,,
industrial_safety_000210,LOW,0.0,No strong SIF precursor signal,,,,,
industrial_safety_000219,MEDIUM,0.6,High-energy hazard with exposure,high-energy hazard; human exposure signal; barrier gap/failure signal,Work at Height; Line of Fire,Work at Height:0.780; Line of Fire:0.350,PPE,PPE
industrial_safety_000222,LOW,0.2,No strong SIF precursor signal,human exposure signal,Work at Height,Work at Height:0.350,,
industrial_safety_000232,LOW,0.2,Eye / facial injury,human exposure signal,Line of Fire,Line of Fire:0.780,PPE,
industrial_safety_000236,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Line of Fire,Work at Height:0.980; Line of Fire:0.350,Fall protection,
industrial_safety_000239,LOW,0.0,No strong SIF precursor signal,,,,Guard / physical protection,
industrial_safety_000250,HIGH,0.7,Potential severe entanglement / machine injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Isolation,Line of Fire:1.000; Isolation:0.700,,
industrial_safety_000259,HIGH,0.85,Potential severe fall injury + Potential severe vehicle injury,high-energy hazard; human exposure signal; credible severe potential pathway; barrier gap/failure signal,Work at Height; Line of Fire; Seat Belt,Work at Height:0.780; Line of Fire:0.350; Seat Belt:0.350,,Fall protection / safe access
industrial_safety_000264,HIGH,0.7,Potential severe thermal injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Hot Work,Line of Fire:0.700; Hot Work:0.630,,
industrial_safety_000272,LOW,0.15,No strong SIF precursor signal,barrier gap/failure signal,,,PPE,PPE
industrial_safety_000284,HIGH,0.7,Potential severe projectile injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Safe Mechanical Lifting,Line of Fire:0.860; Safe Mechanical Lifting:0.350,,
industrial_safety_000289,LOW,0.2,No strong SIF precursor signal,human exposure signal,Work at Height,Work at Height:0.350,,
industrial_safety_000297,MEDIUM,0.6,High-energy hazard with exposure,high-energy hazard; human exposure signal; barrier gap/failure signal,Work at Height,Work at Height:1.000,,Fall protection / safe access
industrial_safety_000298,LOW,0.0,No strong SIF precursor signal,,,,,
industrial_safety_000312,HIGH,0.7,Potential severe thermal injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Hot Work,Line of Fire:1.000; Hot Work:0.630,,
industrial_safety_000314,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height,Work at Height:0.980,,
industrial_safety_000321,HIGH,0.85,Potential severe projectile injury,high-energy hazard; human exposure signal; credible severe potential pathway; barrier gap/failure signal,Work at Height; Line of Fire; Safe Mechanical Lifting,Work at Height:0.780; Line of Fire:0.700; Safe Mechanical Lifting:0.430,,Structural / ground control
industrial_safety_000323,MEDIUM,0.5,Potential severe vehicle injury,high-energy hazard; credible severe potential pathway,Line of Fire; Seat Belt; Driving,Line of Fire:0.350; Seat Belt:0.350; Driving:0.350,Guard / physical protection,
industrial_safety_000331,HIGH,0.7,Potential severe fall injury + Potential severe projectile injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Work at Height; Seat Belt,Line of Fire:1.000; Work at Height:0.980; Seat Belt:0.350,,
industrial_safety_000332,LOW,0.25,Potential severe entanglement / machine injury,credible severe potential pathway,Isolation,Isolation:0.350,,
industrial_safety_000337,LOW,0.4,Potential severe entanglement / machine injury,credible severe potential pathway; barrier gap/failure signal,Isolation,Isolation:0.430,,Machine energy isolation
industrial_safety_000338,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Line of Fire,Work at Height:0.780; Line of Fire:0.350,,
industrial_safety_000342,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Line of Fire; Isolation,Line of Fire:0.780; Isolation:0.350,Guard / physical protection,
industrial_safety_000346,LOW,0.2,No strong SIF precursor signal,human exposure signal,Line of Fire,Line of Fire:0.350,PPE,
industrial_safety_000361,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Line of Fire; Seat Belt; Driving,Line of Fire:1.000; Seat Belt:0.350; Driving:0.350,,
industrial_safety_000364,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Line of Fire; Seat Belt; Driving,Line of Fire:1.000; Seat Belt:0.350; Driving:0.350,,
industrial_safety_000370,HIGH,0.7,Potential severe chemical injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Safe Mechanical Lifting,Line of Fire:1.000; Safe Mechanical Lifting:0.350,,
industrial_safety_000371,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Isolation,Work at Height:0.780; Isolation:0.350,,
industrial_safety_000372,HIGH,0.95,High-energy hazard with exposure,high-energy hazard; human exposure signal; severe/critical actual consequence; barrier gap/failure signal,Isolation,Isolation:0.350,,Exclusion / line-of-fire control
industrial_safety_000373,HIGH,0.7,Potential severe vehicle injury,high-energy hazard; human exposure signal; credible severe potential pathway,Work at Height; Line of Fire; Seat Belt,Work at Height:0.780; Line of Fire:0.700; Seat Belt:0.350,Guard / physical protection,
industrial_safety_000374,LOW,0.0,No strong SIF precursor signal,,,,,
industrial_safety_000382,LOW,0.2,Burn / thermal injury,human exposure signal,Line of Fire,Line of Fire:0.780,,
industrial_safety_000383,LOW,0.0,Cut / laceration,low-energy-only observed event,,,,
industrial_safety_000384,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Isolation,Work at Height:0.980; Isolation:0.510,De-energization; Emergency / detection control; Exclusion / traffic control; Guard / physical protection; Isolation / LOTO,
industrial_safety_000385,LOW,0.25,High-energy hazard with exposure,high-energy hazard,Isolation,Isolation:0.510,De-energization; Emergency / detection control; Exclusion / traffic control; Guard / physical protection; Isolation / LOTO,
industrial_safety_000389,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Line of Fire,Work at Height:0.350; Line of Fire:0.350,PPE,
industrial_safety_000393,HIGH,0.7,Potential severe projectile injury,high-energy hazard; human exposure signal; credible severe potential pathway,Line of Fire; Work at Height; Safe Mechanical Lifting,Line of Fire:0.700; Work at Height:0.550; Safe Mechanical Lifting:0.350,,
industrial_safety_000401,LOW,0.2,No strong SIF precursor signal,human exposure signal,Line of Fire,Line of Fire:0.430,,
industrial_safety_000403,HIGH,0.8,High-energy hazard with exposure,high-energy hazard; human exposure signal; severe/critical actual consequence,Work at Height,Work at Height:0.980,Emergency / detection control,
industrial_safety_000410,MEDIUM,0.45,High-energy hazard with exposure,high-energy hazard; human exposure signal,Work at Height; Line of Fire; Isolation,Work at Height:0.780; Line of Fire:0.430; Isolation:0.350,,
industrial_safety_000420,LOW,0.25,High-energy hazard with exposure,high-energy hazard,Line of Fire; Seat Belt; Driving,Line of Fire:0.350; Seat Belt:0.350; Driving:0.350,Emergency / detection control; PPE,
industrial_safety_000422,MEDIUM,0.6,High-energy hazard with exposure,high-energy hazard; human exposure signal; barrier gap/failure signal,Line of Fire; Hot Work; Isolation,Line of Fire:1.000; Hot Work:0.550; Isolation:0.350,,Exclusion / line-of-fire control
industrial_safety_000426,MEDIUM,0.5,Potential severe vehicle injury,high-energy hazard; credible severe potential pathway,Seat Belt; Isolation; Line of Fire,Seat Belt:0.510; Isolation:0.350; Line of Fire:0.350,PPE,
